"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78"
"CbMPDiCbraya","Management","Pre","HeS",0,0,0.00454030387538222,0,0,0,0,0,0,0.24522112776603,0.000959452982350148,0.000969543577281265,0.00648089109988177,0,0.0104740692630982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555884923385707,0,0,0,0,0,0,0,0.019072829070468,0,0,0,0,0,0,0,0,0,0,0,0.00397612044993456,0,0.00421046888272186,0.000642413532391245,0,0,0.0396058698701567,6.35074386897909e-05,0,0,0,0,0,0,0,0,0.000755978628067744,0,0,0,0,0.607438931224976,0
"CbMPDiCbraya","Management","Pre","HoS",0.000597919257369868,0,0.00255344796125603,0.00105702116671118,0.000948456119108811,0.000163781853362972,0,0.161327793177123,0,0,3.65106450136131e-06,0.000178658627367091,4.00504983728016e-05,0.000206177387190519,0,0,0.0272349101216661,0.00126423077917224,0,1.4330925601479e-05,0,3.16779536581169e-05,0.000115904978199378,0,0.00140175087439685,0.000942866071835622,0.00167461310267745,0,0.000810553483233455,0.00318641116609721,0.0129395378593062,0,0.000157772943948501,0,0.0213115010458639,0.00360187320388353,0.214698992725334,0,0.015017001691017,0.162071945004914,8.25665922362458e-06,6.5638531637071e-06,0.00207753807328664,0.0041961362037355,1.07713725329605e-05,0.0106806562664888,0.000149488434734509,0,0.0001466711569506,0.132729324179243,3.69163525461937e-05,0.00123892565767122,6.19565546087984e-05,0.000332015030347264,1.01679639538157e-05,0.000577100227716168,0.00416856195786012,0.0001611977780695,0.00013028242820992,0,4.94662094036848e-06,7.34619067084988e-05,0,0.000675276185382105,0,2.9419494102992e-05,0,0.0194699221364722,0.000449764462594476,0.00141220392316349,0,0,0.114007549054635,0,0,0,0.0735029552211987,9.91398012908553e-05
"CbMPDiCbraya","Management","Pre","DL",0.000653951581784935,0,0.00224788441237004,0.000737812127886963,0.0143323578383878,0.00170945224952327,0.0148683890397292,0.128265551273859,0,0.00989884955922768,0,0,0,0,0,0.0984233863578493,0.00217037208603571,0.006066974293399,0.00020168526341023,0.00221772264637574,0,0,0,0,0.0106614664347184,0.014605329844252,0.0213336852928301,0.0196842289528944,0.000358561081929399,0.00681769046745484,0,0,0,0.000317823519262972,0.0013958673863676,0.0124882803240835,0,0.00316323132074538,0.00636200783096356,0.0848969797686581,0,0,0.00386986190553682,0.00523174622555473,0,0,0.218056665325131,0.145597441292799,0,0.0216055644227335,0.036919490845467,0.0233983442472868,5.03290455809133e-05,0,0,0,0.0209088275575696,0.000322476841374708,0,0,0,0,0,0.000877089064713669,0,0,0,0.0163420005697065,0.00190401033068684,0,0.000219941407735938,0.00247503121834294,0.0117637138492844,0,0.000573269151964695,0.000591546172874909,0.024866543540694,0.000546566030962635
"CbMPDiCbraya","Management","Pre","HD",0,0.0429316330062987,0,0,0,0,0,0.0540710990190217,0.0101006416584149,0.000253227472231248,0.001737793502141,0.0106570506440808,0,0.000585473133809254,0.0229648338511415,0.0217444411746574,0.00795123074484031,0,0.0104038515916979,0,0.171155368035177,1.97526361342931e-05,0.000217498306672879,0.0218189269535592,0,0.000124702933284592,0.000496192396133508,0.0639025881606795,4.69249487425472e-05,0.00368179999585974,0.0223182136804971,0.0692860119227827,0.0275371000022362,0.00275348011607198,0,0,0,0.0497254143787037,0.00104863292720934,0.00124424767296097,0.000113464494558613,0.000535301006691558,0.000550751675132941,0.0062057482140675,0.00721597513994781,0.0476203919072145,0.0140611342317979,0.036791942266241,0.000591702582512611,0,0.00171654468847323,0,0.000364616463224203,0.00112873208473913,0,0.00385170244534924,0,0,0.00103489267813161,0.000225582288061794,4.59324275813283e-05,0.0138152058219132,2.05989477069349e-05,0,0.0610732091578062,0.0187819196395869,0.0584251176748002,0.00370403414286566,0.000165946916214753,0.0976277889885339,0,0.000210909951481695,0,0.00380545074417318,0.000297693669071074,0.00122146401200917,0,1.81148750721694e-05
"CbMPDiCbraya","Management","Pre","DR",0.00320863617409764,0.023332967627768,0.00119236907709872,0.00291300186330702,0.00265383268955697,0.000974422484964711,0.00779042239818016,0.028276368470746,0.00104370794656773,0.00577654319244779,1.26517089645689e-05,0.000505595905932969,0.00068770194757037,0.000385531985072908,0.00773681717466548,0.0329897519569419,0.00700992655088937,0.00439843798861062,0.00584959135504967,0.000713120939912293,0.0118460853465068,0.000192198003790131,0.000268268061883073,0.00303595349972396,0.00197550096741536,0.0110030291041361,0.00265992494134117,0.396143070561131,0.00114649968300037,0.00163601014258748,0.00326870803869077,0.0173173333167372,0.0067097396049219,0.00654233961461738,0.00562357693298317,0.000673908298003493,0.0353426038152443,0.0808518426698273,0.000379398024526368,0.0249121103803278,0.000875609311710342,0.00233769695059365,0.000547081903037026,0.000442742089673006,0.000317816858220065,0.0117021715169827,0.0342651549064684,0.0339217384267087,0.000687362353771245,0.0115776811991492,0.00310084696899021,0.0454474170958763,0.000334530107216287,0.000437075077638531,0.000104623968557266,0.00064263986188595,0.0115131361597326,0.00110607304226706,9.39535450479672e-05,0.000110057998234011,5.28555203584718e-05,0.00506520624919175,0.000243807350215489,0.000152180128517233,0.00726957682275992,0,0.00992756543213436,0.00267255122412832,0.000208243493771543,0.0323732613387024,0.00276279909338395,0.00023440650617745,0.0242851499582377,0.00177332450446366,0.000262769222404929,0.00136756176765713,0.00249516005124119,0.000308671549153861
"CbMPDiCbraya","Management","In","HeS",0,0,0.0017670860460035,0,0,0,0.0332146378023617,0,0,0,0.000757913595534474,0,0.00165025483669756,0.000216014615240265,0,0,0.106746733607285,0,0,0.002526957631692,0,0,0,0,0,0,0,0,0,0,0,0.694176284782836,0,0,0,0.0010045915834903,0,0,0,0,0,0,0,0.105046089324667,0,0,0,0.00325663680008727,0,0.0380381493300776,0.00055611860282151,0,0.000111157381542803,0,0,0,0,0,0,0,0,0,0.000253887542282867,0.000516085373586573,0,0.000259372344924065,0,0,0,0,0.00731705455632705,0.000913451911670224,0,0,0,0.000835881415746368,0,0.00083564091512555
"CbMPDiCbraya","Management","In","HoS",0.005824488598051,0,0.000631984167547987,0.000256134284203415,0.000494285485712293,1.12328274095886e-05,0.000730783719937928,0,0,9.37222981352802e-05,3.98022112342966e-05,6.45372406911888e-05,9.00735108311701e-05,0.000167026625936901,0.000715995273333207,0.00406673243006347,0.0150454248649878,0.00012247285390975,0,0,0.039960504793502,2.65153556820175e-06,2.52596291822195e-05,0,0,0.000161430065911452,0,0.18806211606117,3.48966139582605e-06,0.00100651368976665,0.0387360218992247,0.00221360693100322,0.00247894302181856,0.002249779473713,0.00935379315296543,0.000109019334352913,0.137270463813708,0,5.21209265816127e-05,0.167689322686022,0.007244450616866,0.00303994225775803,0.000627040351586002,0,0.00109631877205221,0.223747617223679,0.0108850552281652,0.000547868283029787,3.24630520759883e-06,0.00433500430248972,0.000790270634244286,0.00683588837631596,7.38476663726505e-06,0.000415422418421502,1.49648625583668e-05,0.00018587969452194,0.0592491403893823,4.60590187109617e-05,0.000133834346419413,0,3.3078076419208e-06,3.07857248310462e-05,0.0052103120635739,6.40144485339163e-05,0,0.000247275651357345,0.0125266116981565,0.00966051639766386,2.06910900133738e-06,0.0315370559553457,0.00215145242244926,6.91739337094762e-05,0,0,0,0.000439344395314566,0.000913238018049975,0.000209721458454474
"CbMPDiCbraya","Management","In","DL",0.0132778505595063,0.0142090586703137,0.000320569520978483,0.000520495215616616,0.00449942408807122,0.00187275199274268,0.00293017580208437,0.134793576538556,0,0.00382840167815016,0,0,0,0,0.161962467160998,0.0170016331783379,0.0119970469082099,0.0160100316020646,0.0143628159825335,0.00139472768335022,0.00148391166906249,0,0.000375804836446635,0,0,0.0146675066059052,0,0.0585080205017384,0,0,0,0.00705482035655831,0,0.00792361410765582,0.00228360663619062,0,0.0868070953419394,0,0,0.00999918533926136,0.00457405915246745,0.00615531298319979,0.000276785830307197,0.003528830351137,0.000378851348463496,0.0130018570619292,0.156679061693153,0,0,0,0,0,4.70046865205513e-05,0,9.58655830011878e-06,0,0,0,0.000407622459212544,0,0,0,0.000482861022696646,0.000175378866714616,0.0614181857802191,0.00865938308200364,0.0183962618354948,0,0,0.0998819521876173,0.000175848932028642,0.000279311066181294,0.0299608397832036,0.00241851351605696,0,0.00455852910143605,0,0.000449370725384692
"CbMPDiCbraya","Management","In","HD",0,0.0196559726248301,0.000322403078365235,0.000664549963732056,0,0,0.00133109265144567,0.116361652335195,0.0222154674499683,0.00516764087629116,0.00129488297502648,0.0159290499876228,0,0.000466450972099147,0.0192400663319695,0.00160281029135791,0.00224851104210155,0.0002342372790746,0.00198681175841747,0,0.124301554033719,0.000120538813571498,0.000429321547301011,0.034128284925519,0,0,0.00568564680292343,0.00623900512416989,0.000405090153910174,0.0038393030802271,0,0.0549334205965921,0.0702313930609305,0.00323135172590252,0.00201821132787914,0.000388123065235381,0,0.0721188110885365,0.00224888191161064,0,0,0.000895523992042622,0.000173426848073607,0.0101654120540542,0.00228297432880964,0.0267199377698744,0.0297432781147761,0.0511373826694322,0.00189254824177874,0.00136798190339398,0.00418426725443593,0.00131387344649525,0.000108158794097905,0.00175010004901803,3.15933115868634e-05,0.00936486763884939,0,8.30454748364381e-05,0.000652233500945126,0,0,0.0586588700479018,1.57966557934317e-05,0.000184784033742417,0.0462712297759932,0.0117160414435198,0.0484679440051288,0.00561834815574043,0.00077480237064751,0.00472380069519647,0.00277106728830957,8.52841537985793e-06,0.0862182202168229,0.00187680389482912,0.000509652391386027,0.00117750547966617,0,9.94628619169028e-05
"CbMPDiCbraya","Management","In","DR",0.00110651701058031,0.0525329947919819,0.000837544884449714,0.00118620826336064,0.00390290236125508,0.000274725888869629,0.00477110029542929,0.0654289914575781,0.0029207335172978,0.00530674687876678,0.000323861216342773,0.00053096799710931,0.00035003793888175,0.000286273196636604,0.00668457269039374,0.0398057368454598,0.0007910278362395,0.00196515114955029,0.0031367683080926,0.000543481873450911,0.0217791334561012,0.00012183401169208,9.3291724942066e-05,0.00390790958730377,0.00112656640655404,0.00742025743536383,0.00167912016240622,0.45494179872136,0.00137490576713346,0.00342840619471196,0.0166747219457971,0.00792999385079762,0.00911798729363308,0.00228193055845389,0.00986026755723165,0.000830364774529387,0.0211454532430508,0.0647963926347123,7.30109954103498e-05,0.0141440819114781,0.000741865229339168,0.00198056236308698,0.00134999542432023,0.0030556058283758,0.000226841087122248,0.00315303950915036,0.0341194777514528,0.00424435878701313,0.000165218602636919,0.00601951174988762,0.000940919101096827,0.00599845896768635,0.000373686015683199,0.00183683031964478,8.4061683407727e-05,0.000634112490182889,0,0.000277820821187723,0.000546717553981765,0.00163530468381467,7.81509409043213e-05,0.000725826420628575,0.00014378680067936,0.000206631829647393,0.0138844758662104,0.00033364986928972,0.010519805858196,0.00750947615383609,0.000196533077720885,0.0430001954325067,0.000733791839749746,0.000415864569313583,0.009089732901013,0.0065846642916714,0.000273572845347764,0.00102351225397396,0.00225982310266595,0.000222345343184302
