"ID","Bin","TaxonRelativeAbundance","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU2579","Bin2",5.13609360902948e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2580","Bin73",1.21301151204784e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Cercomonadidae","norank_c__Cercomonadidae","norank_c__Cercomonadidae","Metabolomonas","metagenome_g__Metabolomonas"
"OTU2581","Bin35",3.22232123091863e-06,"Eukaryota","Amoebozoa","Gracilipodida","norank_p__Gracilipodida","norank_p__Gracilipodida","norank_p__Gracilipodida","Telaepolella","metagenome_g__Telaepolella"
"OTU2582","Bin26",6.55940723948658e-07,"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Saturnispora","Saturnispora_silvae"
"OTU2583","Bin16",3.55980082311554e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Spirotrichea","Choreotrichia","norank_f__Choreotrichia","unclassified_g__norank_f__Choreotrichia"
"OTU2584","Bin33",3.9830582762486e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2585","Bin76",1.90058456782287e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2586","Bin3",1.63641579048191e-06,"Eukaryota","Amoebozoa","norank_k__Amoebozoa","norank_k__Amoebozoa","norank_k__Amoebozoa","norank_k__Amoebozoa","norank_k__Amoebozoa","Breviata_anathema"
"OTU2587","Bin54",9.83911085922987e-07,"Eukaryota","Fungi","LKM15","norank_p__LKM15","norank_p__LKM15","norank_p__LKM15","norank_p__LKM15","unclassified_g__norank_p__LKM15"
"OTU2588","Bin5",6.55940723948658e-07,"Eukaryota","Amoebozoa","norank_k__Amoebozoa","norank_k__Amoebozoa","norank_k__Amoebozoa","norank_k__Amoebozoa","norank_k__Amoebozoa","Ischnamoeba_sp._FN352"
"OTU2589","Bin10",6.343912544305e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2590","Bin53",6.55940723948658e-07,"Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","unclassified_g__Leptosphaeria"
"OTU2591","Bin65",1.96782217184597e-06,"Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Flammulina","Flammulina_velutipes"
"OTU2592","Bin68",1.31188144789732e-06,"Eukaryota","Animalia","Rotifera","Monogononta","Flosculariacea","norank_o__Flosculariacea","norank_o__Flosculariacea","unclassified_g__norank_o__Flosculariacea"
"OTU2593","Bin42",6.55940723948658e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2594","Bin38",7.52290236632525e-06,"Eukaryota","Cryptophyceae","Kathablepharidae","norank_p__Kathablepharidae","norank_p__Kathablepharidae","norank_p__Kathablepharidae","norank_p__Kathablepharidae","uncultured_Katablepharidaceae"
"OTU2595","Bin44",9.89800219847528e-07,"Eukaryota","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Bradymyces","Bradymyces_alpinus"
"OTU2596","Bin62",6.55940723948658e-07,"Eukaryota","Animalia","Arthropoda","Maxillopoda","unclassified_c__Maxillopoda","unclassified_c__Maxillopoda","unclassified_c__Maxillopoda","unclassified_c__Maxillopoda"
"OTU2597","Bin66",5.76083945696647e-05,"Eukaryota","Fungi","Basidiomycota","Agaricomycetes","unclassified_c__Agaricomycetes","unclassified_c__Agaricomycetes","unclassified_c__Agaricomycetes","unclassified_c__Agaricomycetes"
"OTU2598","Bin37",6.55940723948658e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2599","Bin46",2.16186563854361e-05,"Eukaryota","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","unclassified_f__Mycosphaerellaceae","unclassified_f__Mycosphaerellaceae"
"OTU2600","Bin47",1.80842747374154e-06,"Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unclassified_o__Pleosporales","unclassified_o__Pleosporales","unclassified_o__Pleosporales"
"OTU2601","Bin37",6.55940723948658e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2602","Bin74",6.55940723948658e-07,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU2603","Bin9",4.06122667927523e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae","unclassified_c__Chrysophyceae"
"OTU2604","Bin45",2.55455689382331e-06,"Eukaryota","Fungi","Ascomycota","unclassified_p__Ascomycota","unclassified_p__Ascomycota","unclassified_p__Ascomycota","unclassified_p__Ascomycota","unclassified_p__Ascomycota"
"OTU2605","Bin38",9.83911085922987e-07,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Intramacronucleata","Conthreep","Prostomatea","Cryptocaryon","Askenasia_sp._LWW2010032604"
"OTU2606","Bin2",6.55940723948658e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2607","Bin61",6.55940723948658e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2608","Bin5",0.000162786382368101,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2609","Bin53",1.43157464955606e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU2610","Bin33",9.83911085922987e-07,"Eukaryota","Chloroplastida","norank_k__Chloroplastida","Trebouxiophyceae","norank_c__Trebouxiophyceae","norank_c__Trebouxiophyceae","norank_c__Trebouxiophyceae","unclassified_g__norank_c__Trebouxiophyceae"
"OTU2611","Bin23",1.96782217184597e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU2612","Bin47",6.55940723948658e-07,"Eukaryota","Fungi","Ascomycota","Dothideomycetes","unclassified_c__Dothideomycetes","unclassified_c__Dothideomycetes","unclassified_c__Dothideomycetes","unclassified_c__Dothideomycetes"
"OTU2613","Bin33",6.55940723948658e-07,"Eukaryota","Chloroplastida","norank_k__Chloroplastida","Trebouxiophyceae","norank_c__Trebouxiophyceae","norank_c__Trebouxiophyceae","norank_c__Trebouxiophyceae","unclassified_g__norank_c__Trebouxiophyceae"
"OTU2614","Bin8",2.26705517599283e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Chrysophyceae","Chromulinales","norank_o__Chromulinales","JBNA46","unclassified_g__JBNA46"
"OTU2615","Bin69",2.52619096589349e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Imbricatea","norank_c__Imbricatea","Thaumatomonadida","Gyromitus","unclassified_g__Gyromitus"
"OTU2616","Bin56",6.55940723948658e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2617","Bin72",9.83911085922987e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2618","Bin31",1.31188144789732e-06,"Eukaryota","Chloroplastida","norank_k__Chloroplastida","Chlorophyceae","norank_c__Chlorophyceae","norank_c__Chlorophyceae","norank_c__Chlorophyceae","Chlamydomonas_moewusii"
"OTU2619","Bin26",9.83911085922987e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2620","Bin54",6.55940723948658e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2621","Bin43",1.31188144789732e-06,"Eukaryota","Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi"
"OTU2622","Bin68",9.83911085922987e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2623","Bin53",6.55940723948658e-07,"Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","unclassified_g__Leptosphaeria"
"OTU2624","Bin73",1.23286557602513e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Cercomonadidae","norank_c__Cercomonadidae","norank_c__Cercomonadidae","norank_c__Cercomonadidae","unclassified_g__norank_c__Cercomonadidae"
"OTU2625","Bin60",7.62215262202221e-07,"Eukaryota","Fungi","Ascomycota","Schizosaccharomycetes","Schizosaccharomycetales","Schizosaccharomycetaceae","Schizosaccharomyces","Schizosaccharomyces_japonicus_yFS275"
"OTU2626","Bin56",9.83911085922987e-07,"Eukaryota","Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi"
"OTU2627","Bin39",7.62215262202221e-07,"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","unclassified_o__Saccharomycetales","unclassified_o__Saccharomycetales","unclassified_o__Saccharomycetales"
"OTU2628","Bin32",6.55940723948658e-07,"Eukaryota","Amoebozoa","norank_k__Amoebozoa","Discosea","Centramoebida","norank_o__Centramoebida","Acanthamoeba","unclassified_g__Acanthamoeba"
"OTU2629","Bin32",6.55940723948658e-07,"Eukaryota","Chloroplastida","Phragmoplastophyta","Embryophyta","norank_c__Embryophyta","norank_c__Embryophyta","norank_c__Embryophyta","unclassified_g__norank_c__Embryophyta"
"OTU2630","Bin25",6.55940723948658e-07,"Eukaryota","norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota","unclassified_k__norank_d__Eukaryota"
"OTU2631","Bin13",1.60945616271962e-05,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Conoidasida","Gregarinasina","Eugregarinorida","unclassified_f__Eugregarinorida","unclassified_f__Eugregarinorida"
"OTU2632","Bin2",1.81939161235976e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2633","Bin15",1.56503614403549e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"OTU2634","Bin2",6.55940723948658e-07,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"OTU2635","Bin11",6.55940723948658e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
