SpeciesID	S1_10B	S2_10Z	S3_10D	S4_11B	S5_11Z	S6_11D	S7_12B	S8_12Z	S9_12D	S10_1B	S11_1Z	S12_1D	S13_2B	S14_2Z	S15_2D	S16_3B	S17_3Z	S18_3D	S19_4B	S20_4Z	S21_4D	S22_5B	S23_5Z	S24_5D	S25_6B	S26_6Z	S27_6D	S28_7B	S29_7Z	S30_7D	S31_8B	S32_8Z	S33_8D	S34_9B	S35_9Z	S36_9D
OTU785	6	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14283	2413	3889	0	12	106	0	4	0	0	0	0	0	1	0	31	37	14
OTU786	27	8	12	35	27	58	50	9	15	50	19	7	23	22	40	5	13	18	9	7	21	16	223	14	12	3	4	54	18	12	7	1	4	36	2	1
OTU787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU788	0	0	0	0	0	0	14	2	0	0	0	0	0	0	1	0	0	0	109	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	47	126	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU790	3	6	0	16	20	48	0	0	0	0	0	0	0	0	0	0	0	0	73	14171	2087	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU792	57	20	26	2	1	4	13	1	0	2	9	6	6	5	10	0	10	6	6	0	0	0	0	0	0	0	0	0	0	0	3	1	6	16	3	6
OTU793	4156	102	871	598	412	621	23	3	16	2	4	8	5	1	2	74	11	13	2	83	17	4711	3704	3680	0	3509	13	1102	190	487	962	1389	247	11	16	48
OTU794	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	11	6	1	36	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	28	67	2	3	0	0	0	0	0	0	0	0	0	0	12	6	18
OTU796	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	10	379	48	2	26	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU797	1	0	0	0	0	2	7474	8242	6832	9503	8712	4932	20	14	16	0	2	2	2	40	54	1	0	0	0	0	0	3	0	0	0	1	1	28	16	20
OTU798	0	0	0	0	0	0	0	4	1	3	12	6	75	89	118	2	2351	7887	13	7	23	0	0	23	0	0	0	0	3	56	0	0	0	32	16	77
OTU799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	4	0
OTU800	0	0	0	0	0	0	0	0	0	15	3	0	0	5	7	0	39	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
