"Method","GroupBasedOn","Group","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78"
"CbMPDiCbraya","Management","Pre","0.00164446056154467","0.0100570669914824","0.00188104374432673","0.0016676430036056","0.00599353752789986","0.000990254482099379","0.00798626661322677","0.0942584161925343","0.000589972005440501","0.00744037428678437","4.30927417348702e-05","0.000436252971547079","0.000334446408510746","0.000215158482651929","0.00356471196546367","0.0458157358839869","0.0103991204049919","0.00405937249539549","0.00258127576611904","0.00101542937791082","0.00766412009906447","8.49755699200072e-05","0.00013963127630625","0.0015866005021182","0.00463156656159729","0.00941935437561909","0.00847953157285562","0.165810087816541","0.000777297891600637","0.00374137091618976","0.00489557073209881","0.00810515171498693","0.00319136135161396","0.00276507294828287","0.00798690372123867","0.00568270287518716","0.0673389401626496","0.0341896994910341","0.00597741442364487","0.0779776303316187","0.000353804481642354","0.00094472820859071","0.00201153039012673","0.00318477307139371","0.00025323380081939","0.00813826128620938","0.085446993350504","0.0619096447682451","0.000321099047534506","0.0446085081024504","0.0133797254362729","0.0261338589100804","0.000171748817446707","0.000276247636843219","4.43187126950407e-05","0.000496299992337349","0.0124869028957467","0.000619891207136371","9.24887747660211e-05","4.78329428723036e-05","2.31291711919715e-05","0.00258261582972698","9.82439797207484e-05","0.000515697047925879","0.00395030887276196","0.000328983076690716","0.00496684556994808","0.0113142960005086","0.000821666594596973","0.0149556251537658","0.00117586282465686","0.000914391275816769","0.0418183458390006","0.000773638943359111","0.000297997569210716","0.000761186274473569","0.032033289222029","0.000327368679477813"
"CbMPDiCbraya","Management","In","0.00714102147927869","0.0251878757585063","0.000584730651395076","0.000705176510380894","0.00340688687821136","0.000891728131589475","0.00349110697210564","0.0816600394908414","0.00127023495519451","0.00360300862319352","0.000145906987564534","0.000357894367967841","0.000162776173213404","0.000143122386226018","0.0710782676061962","0.0223833699972761","0.00951006297878217","0.00749202928691733","0.00721378320306261","0.000813460799165953","0.0175115468614515","4.57509418721763e-05","0.000201374362414011","0.00174191934575391","0.000407534100743707","0.00890433264346025","0.000662102955170355","0.22608225236631","0.000501948787282603","0.00147389819303203","0.0136040796805549","0.014606358981439","0.00445846730329906","0.00463947256962046","0.00637830478050861","0.000336715241834055","0.0711082282401843","0.0241336416461883","5.82293083300575e-05","0.0421149353881302","0.00361438029106617","0.00391636580813683","0.000729380848149919","0.00387235827907318","0.000478166949513465","0.050620941724711","0.0808624802097469","0.00217090776229819","7.86042878219976e-05","0.00346551780915619","0.000541348545274146","0.00351883406932082","0.00015874549513434","0.00076250899957056","3.76831228814146e-05","0.0003557937705612","0.0115818700022926","0.000110303572298946","0.000402192930011382","0.000591569586917569","2.89176146640924e-05","0.000832751544391269","0.0012772463561923","0.000168834148908296","0.0313812491308668","0.00393819335243428","0.0144820921761104","0.00465899322983696","7.89519396706964e-05","0.0639076301761311","0.000869072049351213","0.000292153243878554","0.0167584889864125","0.00342046339633606","0.000103866374738211","0.00240018594079339","0.00099600583154716","0.000321373509151068"
"CbMPDiCbraya","Management","Post","0.000552191685731799","0.0510151038809638","0.00134611526131051","0.00145757684805777","0.000283973322730268","0.000364770578162745","0.00019174206021674","0.0368209258781838","0.0136301618283894","0.00641746272124602","0.00557078491947629","0.00828437752598175","0.00550901654821551","0.00314959473586722","0.0051187887476617","0.000494254750799443","0.00441595030119769","0.000418320728123321","0.00288835598561689","0.000100281413480362","0.0534664005584463","0.00122184416785597","0.00191451856407914","0.0360670004934457","0.00176092858628072","0.00274278259569925","0.000126051719358595","0.0356121393008989","0.00222387465078631","0.0015594800829904","0.0503149345566504","0.036135202308511","0.0186033732401055","0.000577884508242812","0.000740707026202959","0.00229007039708596","0.0390309623802698","0.0154505543260162","0.000966367045011941","0.0133066971501194","0.000135735741326063","0.000972581260009569","0.000579223233897172","0.0031210648713113","0.00166823249164171","0.10705661659785","0.0139563799089996","0.0285813218922281","0.00228186425945024","0.00544441401033626","0.00272946484335456","0.0137091349829981","0.000668862895501876","0.0188138594702232","0.000355067065599519","0.00457634216139679","0.00895891282471502","0.00026502150328644","0.00144674988821658","0.0133556736094787","0.000571478572020212","0.176490353860786","0.000151359281370819","0.00037505110376527","0.014756157281319","0.00449276828812923","0.0645901607842753","0.0133615113402096","0.000464217824750002","0.0121572864009102","0.00232972059397963","0.000381172737987896","0.00224393907654078","0.0145284054832306","0.000434743964896042","0.00083187102594515","0.00081002052639129","0.000211734962201186"
"CbMPDiCbraya","Management","Pre_vs_In","0.00439274102041168","0.0176224713749944","0.0012328871978609","0.00118640975699325","0.00470021220305561","0.000940991306844427","0.00573868679266621","0.0879592278416878","0.000930103480317506","0.00552169145498895","9.44998646497021e-05","0.00039707366975746","0.000248611290862075","0.000179140434438974","0.0373214897858299","0.0340995529406315","0.00995459169188702","0.00577570089115641","0.00489752948459083","0.000914445088538384","0.012587833480258","6.53632558960918e-05","0.00017050281936013","0.00166425992393606","0.0025195503311705","0.00916184350953967","0.00457081726401299","0.195946170091425","0.00063962333944162","0.0026076345546109","0.00924982520632685","0.011355755348213","0.00382491432745651","0.00370227275895166","0.00718260425087364","0.00300970905851061","0.0692235842014169","0.0291616705686112","0.00301782186598747","0.0600462828598744","0.00198409238635426","0.00243054700836377","0.00137045561913833","0.00352856567523344","0.000365700375166427","0.0293796015054602","0.0831547367801255","0.0320402762652717","0.000199851667678252","0.0240370129558033","0.00696053699077351","0.0148263464897006","0.000165247156290523","0.000519378318206889","4.10009177882276e-05","0.000426046881449274","0.0120343864490197","0.000365097389717658","0.000247340852388701","0.000319701264894936","2.6023392928032e-05","0.00170768368705912","0.000687745167956525","0.000342265598417087","0.0176657790018144","0.0021335882145625","0.00972446887302922","0.00798664461517277","0.000450309267133835","0.0394316276649484","0.00102246743700404","0.000603272259847662","0.0292884174127065","0.00209705116984758","0.000200931971974463","0.00158068610763348","0.0165146475267881","0.000324371094314441"
"CbMPDiCbraya","Management","Pre_vs_Post","0.00109832612363823","0.0305360854362231","0.00161357950281862","0.00156260992583169","0.00313875542531506","0.000677512530131062","0.00408900433672176","0.0655396710353591","0.00711006691691497","0.0069289185040152","0.00280693883060558","0.00436031524876442","0.00292173147836313","0.00168237660925958","0.00434175035656269","0.0231549953173932","0.00740753535309478","0.00223884661175941","0.00273481587586796","0.000557855395695589","0.0305652603287554","0.000653409868887988","0.00102707492019269","0.018826800497782","0.003196247573939","0.00608106848565917","0.00430279164610711","0.10071111355872","0.00150058627119347","0.00265042549959008","0.0276052526443746","0.0221201770117489","0.0108973672958597","0.00167147872826284","0.00436380537372082","0.00398638663613656","0.0531849512714597","0.0248201269085252","0.00347189073432841","0.045642163740869","0.000244770111484208","0.00095865473430014","0.00129537681201195","0.00315291897135251","0.000960733146230551","0.0575974389420299","0.0497016866297518","0.0452454833302366","0.00130148165349238","0.0250264610563933","0.00805459513981372","0.0199214969465393","0.000420305856474292","0.00954505355353318","0.00019969288914728","0.00253632107686707","0.0107229078602309","0.000442456355211406","0.000769619331491299","0.00670175327617552","0.000297303871606092","0.0895364848452566","0.000124801630545784","0.000445374075845574","0.0093532330770405","0.00241087568240997","0.0347785031771117","0.0123379036703591","0.000642942209673488","0.013556455777338","0.00175279170931824","0.000647782006902332","0.0220311424577707","0.00765102221329484","0.000366370767053379","0.000796528650209359","0.0164216548742101","0.000269551820839499"
"CbMPDiCbraya","Management","In_vs_Post","0.00384660658250524","0.0381014898197351","0.000965422956352795","0.00108137667921933","0.00184543010047081","0.00062824935487611","0.00184142451616119","0.0592404826845126","0.00745019839179197","0.00501023567221977","0.00285834595352041","0.0043211359469748","0.00283589636071446","0.00164635856104662","0.038098528176929","0.0114388123740378","0.00696300663998993","0.00395517500752033","0.00505106959433975","0.000456871106323158","0.0354889737099489","0.000633797554864072","0.00105794646324657","0.0189044599195998","0.00108423134351221","0.00582355761957975","0.000394077337264475","0.130847195833605","0.00136291171903446","0.00151668913801122","0.0319595071186026","0.025370780644975","0.0115309202717023","0.00260867853893163","0.00355950590335578","0.00131339281946001","0.055069595310227","0.0197920979861023","0.000512298176670999","0.0277108162691248","0.00187505801619612","0.0024444735340732","0.000654302041023545","0.00349671157519224","0.00107319972057759","0.0788387791612808","0.0474094300593732","0.0153761148272631","0.00118023427363612","0.00445496590974623","0.00163540669431436","0.00861398452615947","0.000413804195318108","0.00978818423489686","0.000196375094240467","0.00246606796597899","0.0102703914135038","0.000187662537792693","0.00092447140911398","0.00697362159819815","0.000300198093342152","0.0886615527025887","0.000714302818781561","0.000271942626336783","0.0230687032060929","0.00421548082028175","0.0395361264801928","0.00901025228502328","0.000271584882210349","0.0380324582885207","0.00159939632166542","0.000336662990933225","0.00950121403147663","0.00897443443978331","0.000269305169817126","0.00161602848336927","0.000903013178969225","0.000266554235676127"
