OTU ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	MAST-12C	norank_c__MAST-12C	norank_c__MAST-12C	norank_c__MAST-12C	unclassified_g__norank_c__MAST-12C
OTU2	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU3	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Thecofilosea	unclassified_c__Thecofilosea	unclassified_c__Thecofilosea	unclassified_c__Thecofilosea	unclassified_c__Thecofilosea
OTU4	Eukaryota	Amoebozoa	norank_k__Amoebozoa	Tubulinea	norank_c__Tubulinea	norank_c__Tubulinea	norank_c__Tubulinea	Copromyxa_microcystidis
OTU5	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU6	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU7	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU8	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU9	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Conthreep	Phyllopharyngea	unclassified_f__Phyllopharyngea	unclassified_f__Phyllopharyngea
OTU10	Eukaryota	Fungi	Microsporidia	norank_p__Microsporidia	norank_p__Microsporidia	norank_p__Microsporidia	norank_p__Microsporidia	unclassified_g__norank_p__Microsporidia
OTU11	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	Candida_solani_g__Wickerhamomyces
OTU12	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Bacillariophyceae	norank_c__Bacillariophyceae	norank_c__Bacillariophyceae	unclassified_f__norank_c__Bacillariophyceae	unclassified_f__norank_c__Bacillariophyceae
OTU13	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Chrysophyceae	unclassified_c__Chrysophyceae	unclassified_c__Chrysophyceae	unclassified_c__Chrysophyceae	unclassified_c__Chrysophyceae
OTU14	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Udeniomyces	unclassified_g__Udeniomyces
OTU15	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU16	Eukaryota	norank_d__Eukaryota	unclassified_k__norank_d__Eukaryota	unclassified_k__norank_d__Eukaryota	unclassified_k__norank_d__Eukaryota	unclassified_k__norank_d__Eukaryota	unclassified_k__norank_d__Eukaryota	unclassified_k__norank_d__Eukaryota
OTU17	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Conthreep	Oligohymenophorea	Histiobalantium	Histiobalantium_minor
OTU18	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU19	Eukaryota	Amoebozoa	Myxogastria	norank_p__Myxogastria	norank_p__Myxogastria	norank_p__Myxogastria	unclassified_f__norank_p__Myxogastria	unclassified_f__norank_p__Myxogastria
OTU20	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU21	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Conoidasida	Gregarinasina	unclassified_o__Gregarinasina	unclassified_o__Gregarinasina	unclassified_o__Gregarinasina
OTU22	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Bacillariophyceae	norank_c__Bacillariophyceae	norank_c__Bacillariophyceae	unclassified_f__norank_c__Bacillariophyceae	unclassified_f__norank_c__Bacillariophyceae
OTU23	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Conthreep	Prostomatea	Cryptocaryon	unclassified_g__Cryptocaryon
OTU24	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Conoidasida	Gregarinasina	Eugregarinorida	Gregarina	unclassified_g__Gregarina
OTU25	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU26	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Xanthophyceae	norank_c__Xanthophyceae	norank_c__Xanthophyceae	norank_c__Xanthophyceae	Xanthophyceae_sp._IX3
OTU27	Eukaryota	Discoba	Euglenozoa	Diplonemea	norank_c__Diplonemea	norank_c__Diplonemea	unclassified_f__norank_c__Diplonemea	unclassified_f__norank_c__Diplonemea
OTU28	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU29	Eukaryota	Animalia	unclassified_k__Animalia	unclassified_k__Animalia	unclassified_k__Animalia	unclassified_k__Animalia	unclassified_k__Animalia	unclassified_k__Animalia
OTU30	Eukaryota	Fungi	Ascomycota	unclassified_p__Ascomycota	unclassified_p__Ascomycota	unclassified_p__Ascomycota	unclassified_p__Ascomycota	unclassified_p__Ascomycota
OTU31	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	unclassified_c__Agaricomycetes	unclassified_c__Agaricomycetes	unclassified_c__Agaricomycetes	unclassified_c__Agaricomycetes
OTU32	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU33	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU34	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU35	Eukaryota	Animalia	Nematozoa	Enoplea	Triplonchida	norank_o__Triplonchida	norank_o__Triplonchida	Eutobrilus_grandipapillatus
OTU36	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU37	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Spirotrichea	Choreotrichia	norank_f__Choreotrichia	unclassified_g__norank_f__Choreotrichia
OTU38	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU39	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Postciliodesmatophora	Heterotrichea	norank_o__Heterotrichea	Spirostomum	unclassified_g__Spirostomum
OTU40	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU41	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Litostomatea	Haptoria	unclassified_f__Haptoria	unclassified_f__Haptoria
OTU42	Eukaryota	Amoebozoa	Archamoebae	norank_p__Archamoebae	norank_p__Archamoebae	norank_p__Archamoebae	norank_p__Archamoebae	Ripella_platypodia
OTU43	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU44	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU45	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU46	Eukaryota	Amoebozoa	norank_k__Amoebozoa	Discosea	Vannellida	norank_o__Vannellida	Vannella	uncultured_Eimeriidae_g__Vannella
OTU47	Eukaryota	Amoebozoa	Archamoebae	norank_p__Archamoebae	norank_p__Archamoebae	norank_p__Archamoebae	norank_p__Archamoebae	Ripella_platypodia
OTU48	Eukaryota	Animalia	Platyhelminthes	Rhabditophora	Rhabdocoela	norank_o__Rhabdocoela	norank_o__Rhabdocoela	unclassified_g__norank_o__Rhabdocoela
OTU49	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Glissomonadida	norank_c__Glissomonadida	norank_c__Glissomonadida	Bodomorpha	metagenome_g__Bodomorpha
OTU50	Eukaryota	norank_d__Eukaryota	norank_d__Eukaryota	Choanoflagellida	norank_c__Choanoflagellida	unclassified_o__norank_c__Choanoflagellida	unclassified_o__norank_c__Choanoflagellida	unclassified_o__norank_c__Choanoflagellida
OTU51	Eukaryota	Cryptophyceae	norank_k__Cryptophyceae	norank_k__Cryptophyceae	Cryptomonadales	norank_o__Cryptomonadales	unclassified_f__norank_o__Cryptomonadales	unclassified_f__norank_o__Cryptomonadales
OTU52	Eukaryota	Amoebozoa	norank_k__Amoebozoa	Tubulinea	norank_c__Tubulinea	norank_c__Tubulinea	norank_c__Tubulinea	unclassified_g__norank_c__Tubulinea
OTU53	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Chrysophyceae	Ochromonadales	norank_o__Ochromonadales	Dinobryon	unclassified_g__Dinobryon
OTU54	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Conoidasida	Gregarinasina	Eugregarinorida	norank_f__Eugregarinorida	uncultured_alveolate_f__Eugregarinorida
OTU55	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU56	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU57	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Conthreep	Prostomatea	Cryptocaryon	unclassified_g__Cryptocaryon
OTU58	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	unclassified_c__Intramacronucleata	unclassified_c__Intramacronucleata	unclassified_c__Intramacronucleata	unclassified_c__Intramacronucleata
OTU59	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU60	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Conthreep	Prostomatea	Cryptocaryon	unclassified_g__Cryptocaryon
OTU61	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU62	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Piskurozyma	Piskurozyma_taiwanensis
OTU63	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU64	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Chrysophyceae	unclassified_c__Chrysophyceae	unclassified_c__Chrysophyceae	unclassified_c__Chrysophyceae	unclassified_c__Chrysophyceae
OTU65	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Conthreep	unclassified_o__Conthreep	unclassified_o__Conthreep	unclassified_o__Conthreep
OTU66	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU67	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Chrysophyceae	Ochromonadales	norank_o__Ochromonadales	Dinobryon	uncultured_freshwater_eukaryote_g__Dinobryon
OTU68	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Conoidasida	Gregarinasina	Eugregarinorida	unclassified_f__Eugregarinorida	unclassified_f__Eugregarinorida
OTU69	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU70	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU71	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Chrysophyceae	Chromulinales	norank_o__Chromulinales	unclassified_f__norank_o__Chromulinales	unclassified_f__norank_o__Chromulinales
OTU72	Eukaryota	Chloroplastida	Phragmoplastophyta	norank_p__Phragmoplastophyta	norank_p__Phragmoplastophyta	norank_p__Phragmoplastophyta	norank_p__Phragmoplastophyta	Closterium_sp._NIES-262
OTU73	Eukaryota	Amoebozoa	norank_k__Amoebozoa	Tubulinea	norank_c__Tubulinea	norank_c__Tubulinea	norank_c__Tubulinea	Hartmannella_cantabrigiensis
OTU74	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU75	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU76	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU77	Eukaryota	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	norank_o__Trypanosomatida	unclassified_f__norank_o__Trypanosomatida	unclassified_f__norank_o__Trypanosomatida
OTU78	Eukaryota	Cryptophyceae	Kathablepharidae	norank_p__Kathablepharidae	norank_p__Kathablepharidae	norank_p__Kathablepharidae	norank_p__Kathablepharidae	uncultured_Katablepharidaceae
OTU79	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU80	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Bacillariophyceae	norank_c__Bacillariophyceae	norank_c__Bacillariophyceae	unclassified_f__norank_c__Bacillariophyceae	unclassified_f__norank_c__Bacillariophyceae
OTU81	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU82	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU83	Eukaryota	Amoebozoa	norank_k__Amoebozoa	norank_k__Amoebozoa	norank_k__Amoebozoa	norank_k__Amoebozoa	norank_k__Amoebozoa	Ischnamoeba_sp._FN352
OTU84	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU85	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Labyrinthulomycetes_p__SAR_p__SAR_d__Eukaryota	norank_c__Labyrinthulomycetes_p__SAR_p__SAR_d__Eukaryota	Amphitraemidae	norank_f__Amphitraemidae	unclassified_g__norank_f__Amphitraemidae
OTU86	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU87	Eukaryota	Discoba	Euglenozoa	Kinetoplastea	norank_c__Kinetoplastea	norank_c__Kinetoplastea	Ichthyobodo	unclassified_g__Ichthyobodo
OTU88	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU89	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU90	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU91	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU92	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU93	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU94	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU95	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU96	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Bacillariophyceae	norank_c__Bacillariophyceae	norank_c__Bacillariophyceae	unclassified_f__norank_c__Bacillariophyceae	unclassified_f__norank_c__Bacillariophyceae
OTU97	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Conthreep	Oligohymenophorea	norank_f__Oligohymenophorea	uncultured_microeukaryote_f__Oligohymenophorea
OTU98	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Litostomatea	unclassified_o__Litostomatea	unclassified_o__Litostomatea	unclassified_o__Litostomatea
OTU99	Eukaryota	Animalia	Rotifera	Monogononta	Ploimida	norank_o__Ploimida	norank_o__Ploimida	unclassified_g__norank_o__Ploimida
OTU100	Eukaryota	Amoebozoa	SAR_k__Amoebozoa	Labyrinthulomycetes_p__SAR	norank_c__Labyrinthulomycetes_p__SAR	norank_c__Labyrinthulomycetes_p__SAR	Sorodiplophrys	unclassified_g__Sorodiplophrys
OTU101	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU102	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU103	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Conthreep	Colpodea	unclassified_f__Colpodea	unclassified_f__Colpodea
OTU104	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Chrysophyceae	unclassified_c__Chrysophyceae	unclassified_c__Chrysophyceae	unclassified_c__Chrysophyceae	unclassified_c__Chrysophyceae
OTU105	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Spirotrichea	Hypotrichia	unclassified_f__Hypotrichia	unclassified_f__Hypotrichia
OTU106	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Spirotrichea	Hypotrichia	unclassified_f__Hypotrichia	unclassified_f__Hypotrichia
OTU107	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU108	Eukaryota	norank_d__Eukaryota	Preaxostyla	norank_p__Preaxostyla	norank_p__Preaxostyla	norank_p__Preaxostyla	Paratrimastix	unclassified_g__Paratrimastix
OTU109	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU110	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Cercomonadidae	norank_c__Cercomonadidae	norank_c__Cercomonadidae	Paracercomonas	unclassified_g__Paracercomonas
OTU111	Eukaryota	Discoba	Euglenozoa	Euglenida	norank_c__Euglenida	unclassified_o__norank_c__Euglenida	unclassified_o__norank_c__Euglenida	unclassified_o__norank_c__Euglenida
OTU112	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU113	Eukaryota	Cryptophyceae	Kathablepharidae	norank_p__Kathablepharidae	norank_p__Kathablepharidae	norank_p__Kathablepharidae	norank_p__Kathablepharidae	unclassified_g__norank_p__Kathablepharidae
OTU114	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU115	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Litostomatea	unclassified_o__Litostomatea	unclassified_o__Litostomatea	unclassified_o__Litostomatea
OTU116	Eukaryota	Amoebozoa	norank_k__Amoebozoa	Tubulinea	norank_c__Tubulinea	norank_c__Tubulinea	norank_c__Tubulinea	unclassified_g__norank_c__Tubulinea
OTU117	Eukaryota	Fungi	Ascomycota	Laboulbeniomycetes	norank_c__Laboulbeniomycetes	norank_c__Laboulbeniomycetes	norank_c__Laboulbeniomycetes	metagenome_c__Laboulbeniomycetes
OTU118	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	norank_p__SAR_d__Eukaryota	norank_p__SAR_d__Eukaryota	norank_p__SAR_d__Eukaryota	Pythium	Pythium_monospermum
OTU119	Eukaryota	Amoebozoa	SAR_k__Amoebozoa	Labyrinthulomycetes_p__SAR	norank_c__Labyrinthulomycetes_p__SAR	norank_c__Labyrinthulomycetes_p__SAR	Sorodiplophrys	unclassified_g__Sorodiplophrys
OTU120	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU121	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU122	Eukaryota	Cryptophyceae	Kathablepharidae	norank_p__Kathablepharidae	norank_p__Kathablepharidae	norank_p__Kathablepharidae	norank_p__Kathablepharidae	uncultured_Katablepharidaceae
OTU123	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified_o__Agaricales	unclassified_o__Agaricales	unclassified_o__Agaricales
OTU124	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	norank_p__SAR_d__Eukaryota	norank_p__SAR_d__Eukaryota	norank_p__SAR_d__Eukaryota	norank_p__SAR_d__Eukaryota	unclassified_g__norank_p__SAR_d__Eukaryota
OTU125	Eukaryota	Cryptophyceae	Kathablepharidae	norank_p__Kathablepharidae	norank_p__Kathablepharidae	norank_p__Kathablepharidae	norank_p__Kathablepharidae	uncultured_Katablepharidaceae
OTU126	Eukaryota	norank_d__Eukaryota	norank_d__Eukaryota	Choanoflagellida	norank_c__Choanoflagellida	norank_c__Choanoflagellida	norank_c__Choanoflagellida	unclassified_g__norank_c__Choanoflagellida
OTU127	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Novel_Clade_2	norank_c__Novel_Clade_2	norank_c__Novel_Clade_2	norank_c__Novel_Clade_2	unclassified_g__norank_c__Novel_Clade_2
OTU128	Eukaryota	Amoebozoa	Gracilipodida	norank_p__Gracilipodida	norank_p__Gracilipodida	norank_p__Gracilipodida	Flamella	unclassified_g__Flamella
OTU129	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Cercomonadidae	norank_c__Cercomonadidae	norank_c__Cercomonadidae	Paracercomonas	unclassified_g__Paracercomonas
OTU130	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU131	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Conoidasida	Gregarinasina	Eugregarinorida	unclassified_f__Eugregarinorida	unclassified_f__Eugregarinorida
OTU132	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
