SpeciesID	S1_10B	S2_10Z	S3_10D	S4_11B	S5_11Z	S6_11D	S7_12B	S8_12Z	S9_12D	S10_1B	S11_1Z	S12_1D	S13_2B	S14_2Z	S15_2D	S16_3B	S17_3Z	S18_3D	S19_4B	S20_4Z	S21_4D	S22_5B	S23_5Z	S24_5D	S25_6B	S26_6Z	S27_6D	S28_7B	S29_7Z	S30_7D	S31_8B	S32_8Z	S33_8D	S34_9B	S35_9Z	S36_9D
OTU265	0	1	3	2	4	4	0	2	3	1	2	0	0	0	2	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU266	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU267	0	1	3	0	1	0	3	1	3	1	1	10	0	1	0	3	0	1	3	0	1	0	0	0	0	0	1	1	1	0	0	0	0	6	1	8
OTU268	30	23	44	52	62	59	18	19	20	27	27	27	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	3	6	28
OTU269	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU270	0	6	0	3	13	5	10	1	5	3	4	1	0	5	0	5	0	4	5	0	4	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0
OTU271	1	0	0	0	0	2	22	10	11	61	73	38	9	8	5	0	2	2	0	2	2	0	0	0	0	0	0	0	5	0	3	0	3	8	13	2
OTU272	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU273	41	130	250	747	1069	952	2430	1821	1849	1666	1840	1040	13160	11525	11848	0	394	125	0	394	125	0	0	0	0	0	0	2	2	1	0	0	1	3	6	5
OTU274	0	14	34	14	13	25	2	2	2	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU275	94	309	347	346	391	288	10	11	6	1	4	11	0	3	9	0	1	0	0	1	0	0	0	0	0	0	0	3	5	0	0	1	7	50	27	25
OTU276	0	0	2	0	1	1	9	4	5	2	4	13	0	3	2	2	0	0	2	0	0	1	0	2	5	0	3	13	5	5	0	0	2	7	4	8
OTU277	61	34	50	7	9	2	5	3	2	6	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
OTU278	0	0	0	0	0	0	2	1	0	0	4	0	4	7	3	0	10	16	0	10	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU279	24	53	42	67	68	77	12	28	16	32	97	3	7	10	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	1
OTU280	1	5	2	4	1	0	6	9	13	20	24	12	7	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU281	0	0	1	5	1	0	0	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU282	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU283	2	0	1	0	3	1	0	1	4	0	3	3	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU284	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU285	0	0	0	1	8	6	289	217	238	653	732	207	418	213	370	0	3	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU286	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU287	0	0	0	0	0	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU288	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU289	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU290	0	1	0	0	4	1	0	0	0	3	1	1	0	0	1	22	0	0	22	0	0	2	0	0	0	0	0	0	0	1	0	0	1	2	1	0
OTU291	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU292	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU293	0	0	2	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
OTU294	3	1	2	8	3	2	0	0	1	1	2	7	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU295	223	503	332	280	314	238	15	8	13	4	3	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	20	6	0	0
OTU296	7	13	15	13	7	8	5	1	1	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
OTU297	5	1	2	1	0	1	1	1	5	0	2	6	0	1	5	0	2	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	2	7	2
OTU298	957	1202	1182	782	774	770	180	330	275	319	321	61	34	31	27	0	0	0	0	0	0	0	0	0	0	0	0	182	117	11	0	2	790	1	0	0
