"ID","Bin","TaxonRelativeAbundance","Domain","Phylum","Class","Order","Family","Genus"
"OTU40","Bin20",1.8096861642254e-06,"Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","norank_o__0319-6G20","norank_o__0319-6G20"
"OTU41","Bin6",9.048430821127e-07,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","unclassified_o__Sphingobacteriales","unclassified_o__Sphingobacteriales"
"OTU42","Bin89",1.39398319336273e-06,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Jorgensenbacteria","norank_o__Candidatus_Jorgensenbacteria","norank_o__Candidatus_Jorgensenbacteria"
"OTU43","Bin46",1.35726462316905e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"OTU44","Bin20",2.7966926938819e-06,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas"
"OTU45","Bin78",6.13859828773804e-05,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Methylophilaceae","unclassified_f__Methylophilaceae"
"OTU46","Bin45",1.25856043930639e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","B1-7BS","norank_f__B1-7BS"
"OTU47","Bin13",1.36926122191371e-06,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Weissella"
"OTU48","Bin35",1.87220098570374e-05,"Bacteria","Pseudomonadota","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","norank_f__Paracaedibacteraceae"
"OTU49","Bin16",9.048430821127e-07,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"OTU50","Bin78",3.60831831928185e-06,"Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast","norank_o__Chloroplast","norank_o__Chloroplast"
"OTU51","Bin36",9.048430821127e-07,"Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"OTU52","Bin14",9.048430821127e-07,"Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax"
"OTU53","Bin90",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"OTU54","Bin90",1.30487444457152e-06,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria"
"OTU55","Bin73",2.17958773712095e-06,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Simkaniaceae","norank_f__Simkaniaceae"
"OTU56","Bin90",2.05253720914467e-06,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","norank_o__Candidatus_Campbellbacteria","norank_o__Candidatus_Campbellbacteria"
"OTU57","Bin6",9.048430821127e-07,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"OTU58","Bin39",2.26210770528175e-06,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"OTU59","Bin21",2.01969410725718e-06,"Bacteria","Dependentiae","Babeliae","Babeliales","norank_o__Babeliales","norank_o__Babeliales"
"OTU60","Bin45",1.35726462316905e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","SC-I-84","norank_f__SC-I-84"
"OTU61","Bin19",5.85979657155505e-06,"Bacteria","Myxococcota","Polyangiia","Blfdi19","norank_o__Blfdi19","norank_o__Blfdi19"
"OTU62","Bin91",1.35726462316905e-06,"Bacteria","Patescibacteria","Parcubacteria","norank_c__Parcubacteria","norank_c__Parcubacteria","norank_c__Parcubacteria"
"OTU63","Bin90",9.048430821127e-07,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria"
"OTU64","Bin49",9.048430821127e-07,"Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylomonadaceae","norank_f__Methylomonadaceae"
"OTU65","Bin58",3.90160525687888e-06,"Bacteria","Dependentiae","Babeliae","Babeliales","norank_o__Babeliales","norank_o__Babeliales"
"OTU66","Bin45",1.35726462316905e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria"
"OTU67","Bin78",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"OTU68","Bin78",2.77248785257106e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"OTU69","Bin68",1.8096861642254e-06,"Bacteria","Latescibacterota","norank_p__Latescibacterota","norank_p__Latescibacterota","norank_p__Latescibacterota","norank_p__Latescibacterota"
"OTU70","Bin9",8.49587263923798e-06,"Bacteria","Acidobacteriota","Blastocatellia","11月24日","norank_o__11-24","norank_o__11-24"
"OTU71","Bin77",9.048430821127e-07,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","cvE6","norank_f__cvE6"
"OTU72","Bin81",3.14663614388895e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"OTU73","Bin16",9.048430821127e-07,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","norank_o__Vicinamibacterales","norank_o__Vicinamibacterales"
"OTU74","Bin75",9.048430821127e-07,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","cvE6","norank_f__cvE6"
"OTU75","Bin43",9.048430821127e-07,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"OTU76","Bin66",9.048430821127e-07,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"OTU77","Bin33",1.40684506602454e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus"
"OTU78","Bin90",9.048430821127e-07,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria"
"OTU79","Bin3",1.69532128416989e-06,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","BSV13"
"OTU80","Bin81",2.26210770528175e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium"
"OTU81","Bin90",9.54423524968191e-07,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria","norank_o__Candidatus_Kaiserbacteria"
"OTU82","Bin84",1.35726462316905e-06,"Bacteria","Chloroflexota","unclassified_p__Chloroflexota","unclassified_p__Chloroflexota","unclassified_p__Chloroflexota","unclassified_p__Chloroflexota"
"OTU83","Bin92",9.048430821127e-07,"Bacteria","Patescibacteria","ABY1","Candidatus_Kerfeldbacteria","norank_o__Candidatus_Kerfeldbacteria","norank_o__Candidatus_Kerfeldbacteria"
"OTU84","Bin5",9.048430821127e-07,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","norank_f__37-13"
"OTU85","Bin65",2.0381091972463e-06,"Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium"
"OTU86","Bin38",1.35726462316905e-06,"Bacteria","Chloroflexota","unclassified_p__Chloroflexota","unclassified_p__Chloroflexota","unclassified_p__Chloroflexota","unclassified_p__Chloroflexota"
"OTU87","Bin88",2.27063331548757e-06,"Bacteria","Patescibacteria","WWE3","norank_c__WWE3","norank_c__WWE3","norank_c__WWE3"
"OTU88","Bin42",2.74846802529491e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"OTU89","Bin65",0.000102515826773354,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"OTU90","Bin33",6.096356476505e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","unclassified_f__Rhizobiaceae"
"OTU91","Bin78",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"OTU92","Bin23",9.048430821127e-07,"Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae","norank_f__Vermiphilaceae"
"OTU93","Bin78",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"OTU94","Bin19",2.2297168487545e-06,"Bacteria","Myxococcota","Polyangiia","Haliangiales","Haliangiaceae","norank_f__Haliangiaceae"
"OTU95","Bin45",1.39501897683076e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","DSSD61"
"OTU96","Bin36",9.048430821127e-07,"Bacteria","Bacillota","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium"
"OTU97","Bin81",9.048430821127e-07,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"OTU98","Bin61",9.048430821127e-07,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidiferrimicrobium"
"OTU99","Bin49",9.048430821127e-07,"Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter"
"OTU100","Bin42",1.35726462316905e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","unclassified_o__Burkholderiales","unclassified_o__Burkholderiales"
"OTU101","Bin70",9.048430821127e-07,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"OTU102","Bin90",9.048430821127e-07,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Zambryskibacteria","norank_o__Candidatus_Zambryskibacteria","norank_o__Candidatus_Zambryskibacteria"
"OTU103","Bin81",9.048430821127e-07,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax"
"OTU104","Bin83",9.048430821127e-07,"Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea"
"OTU105","Bin88",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"OTU106","Bin66",9.048430821127e-07,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"OTU107","Bin49",1.8096861642254e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylobacter"
"OTU108","Bin24",1.35726462316905e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1"
"OTU109","Bin66",8.01920906371287e-06,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"OTU110","Bin88",9.048430821127e-07,"Bacteria","Patescibacteria","Berkelbacteria","norank_c__Berkelbacteria","norank_c__Berkelbacteria","norank_c__Berkelbacteria"
"OTU111","Bin24",9.048430821127e-07,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Pedosphaerales","Pedosphaeraceae","unclassified_f__Pedosphaeraceae"
"OTU112","Bin60",3.00458292724652e-06,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidiferrimicrobium"
"OTU113","Bin76",9.048430821127e-07,"Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","marine_group"
"OTU114","Bin81",9.048430821127e-07,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"OTU115","Bin60",9.048430821127e-07,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidiferrimicrobium"
"OTU116","Bin49",1.35726462316905e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"OTU117","Bin25",9.048430821127e-07,"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3"
"OTU118","Bin20",1.36926122191371e-06,"Bacteria","FCPU426","norank_p__FCPU426","norank_p__FCPU426","norank_p__FCPU426","norank_p__FCPU426"
"OTU119","Bin66",9.048430821127e-07,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"OTU120","Bin90",1.35726462316905e-06,"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","norank_o__Subgroup_7","norank_o__Subgroup_7"
"OTU121","Bin59",1.64875785923583e-06,"Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","norank_o__Gaiellales","norank_o__Gaiellales"
"OTU122","Bin78",1.35726462316905e-06,"Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast","norank_o__Chloroplast","norank_o__Chloroplast"
"OTU123","Bin3",1.28829689663456e-06,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","norank_f__Bacteroidetes_BD2-2"
"OTU124","Bin62",1.35726462316905e-06,"Bacteria","Actinomycetota","unclassified_p__Actinomycetota","unclassified_p__Actinomycetota","unclassified_p__Actinomycetota","unclassified_p__Actinomycetota"
"OTU125","Bin17",9.048430821127e-07,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"OTU126","Bin39",9.048430821127e-07,"Bacteria","Bacillota","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus"
"OTU127","Bin45",9.048430821127e-07,"Bacteria","Pseudomonadota","Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria"
"OTU128","Bin71",9.048430821127e-07,"Bacteria","Pseudomonadota","Alphaproteobacteria","Zavarziniales","Zavarziniaceae","Zavarzinia"
"OTU129","Bin83",1.25830388755091e-06,"Bacteria","Elusimicrobiota","Lineage_IIc","norank_c__Lineage_IIc","norank_c__Lineage_IIc","norank_c__Lineage_IIc"
"OTU130","Bin81",9.048430821127e-07,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Chthoniobacterales","Terrimicrobiaceae","FukuN18_freshwater_group"
"OTU131","Bin24",0.000411397816124452,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Pedosphaerales","Pedosphaeraceae","SH3-11"
"OTU132","Bin35",0.000124150923310755,"Bacteria","Pseudomonadota","Alphaproteobacteria","Holosporales","Holosporaceae","norank_f__Holosporaceae"
"OTU133","Bin35",0.000292644332526631,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","norank_o__Rhodospirillales","norank_o__Rhodospirillales"
"OTU134","Bin42",4.26445275671861e-05,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Ephemeroptericola"
"OTU135","Bin16",4.46689768101238e-06,"Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","PRD18C08","norank_f__PRD18C08"
"OTU136","Bin40",0.0031108234177244,"Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast","norank_o__Chloroplast","norank_o__Chloroplast"
"OTU137","Bin49",0.00053618875113485,"Bacteria","Pseudomonadota","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Crenothrix"
"OTU138","Bin26",1.64079364284762e-06,"Bacteria","Gemmatimonadota","Gemmatimonadia","Gemmatimonadales","Gemmatimonadaceae","norank_f__Gemmatimonadaceae"
"OTU139","Bin78",0.000587466340320975,"Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast","norank_o__Chloroplast","norank_o__Chloroplast"
"OTU140","Bin45",0.000611422543265608,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","GOUTA6"
"OTU141","Bin30",0.00206077560480616,"Bacteria","Pseudomonadota","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"OTU142","Bin75",1.35355123631655e-05,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","cvE6","norank_f__cvE6"
"OTU143","Bin38",8.16718193638177e-06,"Bacteria","Chloroflexota","KD4-96","norank_c__KD4-96","norank_c__KD4-96","norank_c__KD4-96"
"OTU144","Bin78",0.000138883081875958,"Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast","norank_o__Chloroplast","norank_o__Chloroplast"
"OTU145","Bin18",8.73886013803904e-07,"Bacteria","Thermodesulfobacteriota","Syntrophorhabdia","Syntrophorhabdales","Syntrophorhabdaceae","Syntrophorhabdus"
"OTU146","Bin92",3.09705586305591e-06,"Bacteria","Patescibacteria","ABY1","Candidatus_Komeilibacteria","norank_o__Candidatus_Komeilibacteria","norank_o__Candidatus_Komeilibacteria"
"OTU147","Bin81",0.00123963068056279,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","norank_c__Verrucomicrobiia","norank_c__Verrucomicrobiia","norank_c__Verrucomicrobiia"
"OTU148","Bin82",2.18471503450976e-06,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"OTU149","Bin21",1.25160260058189e-05,"Bacteria","Dependentiae","Babeliae","Babeliales","norank_o__Babeliales","norank_o__Babeliales"
"OTU150","Bin70",3.78779955710116e-06,"Bacteria","Cyanobacteriota","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","norank_f__Obscuribacteraceae"
"OTU151","Bin60",0.000700324151550351,"Bacteria","Actinomycetota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group"
"OTU152","Bin39",9.2331413442405e-05,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Pseudobdellovibrionaceae","Bdellovibrio"
"OTU153","Bin66",0.000223180742418161,"Bacteria","Actinomycetota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade"
"OTU154","Bin38",0.00365327072927834,"Bacteria","Chloroflexota","SL56_marine_group","norank_c__SL56_marine_group","norank_c__SL56_marine_group","norank_c__SL56_marine_group"
"OTU155","Bin12",9.96535141061934e-05,"Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"OTU156","Bin77",1.72235021798795e-06,"Bacteria","Bdellovibrionota","Bacteriovoracia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter"
"OTU157","Bin78",0.001074688227021,"Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast","norank_o__Chloroplast","norank_o__Chloroplast"
"OTU158","Bin35",8.73886013803904e-07,"Bacteria","Pseudomonadota","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","norank_f__Paracaedibacteraceae"
"OTU159","Bin59",0.000126755307490181,"Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","norank_o__Gaiellales","norank_o__Gaiellales"
"OTU160","Bin3",3.39240882238647e-06,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","BSV13"
"OTU161","Bin2",0.000106316555499487,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"OTU162","Bin78",6.07647274601994e-05,"Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast","norank_o__Chloroplast","norank_o__Chloroplast"
"OTU163","Bin43",0.000966207261854944,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera"
"OTU164","Bin45",0.000324149118434148,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","unclassified_o__Burkholderiales","unclassified_o__Burkholderiales"
