"Bin","TaxonRelativeAbundance","Domain","Phylum","Class","Order","Family","Genus"
"Bin74",1.71653191891103e-06,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Parachlamydiaceae","unclassified_f__Parachlamydiaceae"
"Bin64",3.43306383782206e-06,"Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter"
"Bin92",3.43306383782206e-06,"Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","norank_o__Candidatus_Magasanikbacteria","norank_o__Candidatus_Magasanikbacteria"
"Bin28",7.21984503283782e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","unclassified_c__Alphaproteobacteria","unclassified_c__Alphaproteobacteria","unclassified_c__Alphaproteobacteria"
"Bin87",1.71653191891103e-06,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","norank_o__Saccharimonadales","norank_o__Saccharimonadales"
"Bin16",5.45366971177071e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067"
"Bin57",3.43306383782206e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","unclassified_f__Paracoccaceae"
"Bin57",1.55281186095952e-05,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Halieaceae","Kineobactrum"
"Bin36",3.43306383782206e-06,"Bacteria","Bacillota","Bacilli","unclassified_c__Bacilli","unclassified_c__Bacilli","unclassified_c__Bacilli"
"Bin6",1.71653191891103e-06,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Bin11",1.71653191891103e-06,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"Bin6",1.71653191891103e-06,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","norank_f__NS9_marine_group"
"Bin5",3.43306383782206e-06,"Bacteria","Bacteroidota","Bacteroidia","unclassified_c__Bacteroidia","unclassified_c__Bacteroidia","unclassified_c__Bacteroidia"
"Bin71",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","unclassified_f__Paracoccaceae"
"Bin42",1.71653191891103e-06,"Bacteria","Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota"
"Bin33",2.55351979147028e-05,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium"
"Bin37",1.71653191891103e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin20",5.1495957567331e-06,"Bacteria","SAR324_clade(Marine_group_B)","norank_p__SAR324_clade(Marine_group_B)","norank_p__SAR324_clade(Marine_group_B)","norank_p__SAR324_clade(Marine_group_B)","norank_p__SAR324_clade(Marine_group_B)"
"Bin22",5.82394180024758e-06,"Bacteria","Dependentiae","Babeliae","Babeliales","Babeliaceae","norank_f__Babeliaceae"
"Bin32",4.06070524080074e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis"
"Bin50",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"Bin81",3.43306383782206e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria"
"Bin32",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","unclassified_f__Sphingomonadaceae"
"Bin33",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","unclassified_c__Alphaproteobacteria","unclassified_c__Alphaproteobacteria","unclassified_c__Alphaproteobacteria"
"Bin45",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Chitinimonadaceae","Chitinimonas"
"Bin81",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Simplicispira"
"Bin52",3.43306383782206e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Rickettsiellales","Rickettsiellaceae","norank_f__Rickettsiellaceae"
"Bin33",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Bosea"
"Bin69",1.71653191891103e-06,"Bacteria","Acidobacteriota","Vicinamibacteria","Subgroup_17","norank_o__Subgroup_17","norank_o__Subgroup_17"
"Bin63",5.23135062248213e-06,"Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Intrasporangiaceae","unclassified_f__Intrasporangiaceae"
"Bin80",6.86612767564413e-06,"Bacteria","Cyanobacteriota","Cyanobacteriia","SepB-3","norank_o__SepB-3","norank_o__SepB-3"
"Bin54",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria","unclassified_c__Gammaproteobacteria"
"Bin61",1.71653191891103e-06,"Bacteria","Actinomycetota","MB-A2-108","norank_c__MB-A2-108","norank_c__MB-A2-108","norank_c__MB-A2-108"
"Bin31",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus"
"Bin30",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Arboricoccus"
"Bin88",1.71653191891103e-06,"Bacteria","Patescibacteria","WWE3","norank_c__WWE3","norank_c__WWE3","norank_c__WWE3"
"Bin1",1.71653191891103e-06,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Cognataquiflexum"
"Bin35",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","norank_f__Micavibrionaceae"
"Bin62",1.71653191891103e-06,"Bacteria","Actinomycetota","Actinobacteria","unclassified_c__Actinobacteria","unclassified_c__Actinobacteria","unclassified_c__Actinobacteria"
"Bin87",1.71653191891103e-06,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","norank_o__Saccharimonadales","norank_o__Saccharimonadales"
"Bin48",1.71653191891103e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin81",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"Bin45",3.43306383782206e-06,"Bacteria","Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota"
"Bin24",1.71653191891103e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Verrucomicrobiaceae","norank_f__Verrucomicrobiaceae"
"Bin31",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","unclassified_f__Sphingomonadaceae"
"Bin34",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","unclassified_o__Hyphomicrobiales","unclassified_o__Hyphomicrobiales"
"Bin45",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","A21b","norank_f__A21b"
"Bin42",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","unclassified_f__Oxalobacteraceae"
"Bin85",1.71653191891103e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin82",1.71653191891103e-06,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Bin87",1.71653191891103e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin10",1.71653191891103e-06,"Bacteria","Elusimicrobiota","Lineage_IIc","norank_c__Lineage_IIc","norank_c__Lineage_IIc","norank_c__Lineage_IIc"
"Bin35",9.57743486692059e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Paracaedibacter"
"Bin34",7.13250503963982e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Rhodoblastus"
"Bin65",3.39320598129956e-05,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"Bin33",2.75649564497627e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"Bin54",3.43306383782206e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"Bin55",3.43306383782206e-06,"Bacteria","Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota"
"Bin35",3.02815473444459e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Micavibrionales","norank_o__Micavibrionales","norank_o__Micavibrionales"
"Bin13",1.71653191891103e-06,"Bacteria","Bacillota","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium"
"Bin33",5.49625033208817e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Pseudolabrys"
"Bin91",1.71653191891103e-06,"Bacteria","Patescibacteria","Parcubacteria","norank_c__Parcubacteria","norank_c__Parcubacteria","norank_c__Parcubacteria"
"Bin32",8.58265959455516e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiales_","Phreatobacter"
"Bin85",3.43306383782206e-06,"Bacteria","Patescibacteria","Berkelbacteria","norank_c__Berkelbacteria","norank_c__Berkelbacteria","norank_c__Berkelbacteria"
"Bin48",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Arenimonas"
"Bin6",1.71653191891103e-06,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"Bin71",1.71653191891103e-06,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"Bin11",2.05458857991187e-06,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Gottfriedia"
"Bin81",9.58039097570236e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","unclassified_o__Burkholderiales","unclassified_o__Burkholderiales"
"Bin3",5.67095379833888e-06,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"Bin53",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Rickettsiellales","Rickettsiellaceae","Aquicella"
"Bin12",2.09998573343289e-06,"Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Jeotgalicoccus"
"Bin55",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria_","norank_o__Gammaproteobacteria_","unclassified_f__norank_o__Gammaproteobacteria_"
"Bin36",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","unclassified_f__Lysobacteraceae"
"Bin43",5.53304957125495e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera"
"Bin16",5.46750491700065e-06,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","norank_o__Vicinamibacterales","norank_o__Vicinamibacterales"
"Bin83",1.71653191891103e-06,"Bacteria","Chloroflexota","Anaerolineae","Aggregatilineales","A4b","unclassified_f__A4b"
"Bin8",5.25437647548494e-06,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","norank_f__Gemmataceae"
"Bin86",3.43306383782206e-06,"Bacteria","Patescibacteria","Gracilibacteria","norank_c__Gracilibacteria","norank_c__Gracilibacteria","norank_c__Gracilibacteria"
"Bin45",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","unclassified_o__Burkholderiales","unclassified_o__Burkholderiales"
"Bin64",4.10533321841894e-06,"Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"Bin65",3.98678240126473e-06,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"Bin8",1.71653191891103e-06,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","unclassified_f__Gemmataceae"
"Bin36",1.71653191891103e-06,"Bacteria","Bacillota","Bacilli","unclassified_c__Bacilli","unclassified_c__Bacilli","unclassified_c__Bacilli"
"Bin53",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Rickettsiellales","Rickettsiellaceae","Aquicella"
"Bin48",3.43306383782206e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges"
"Bin43",1.76294036896162e-05,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","CM1G08"
"Bin80",9.38272231947279e-06,"Bacteria","Cyanobacteriota","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Chamaesiphon_PCC-7430"
"Bin88",3.43306383782206e-06,"Bacteria","Patescibacteria","WWE3","norank_c__WWE3","norank_c__WWE3","norank_c__WWE3"
"Bin46",2.58912584468292e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Uliginosibacterium"
"Bin86",1.71653191891103e-06,"Bacteria","Patescibacteria","unclassified_p__Patescibacteria","unclassified_p__Patescibacteria","unclassified_p__Patescibacteria","unclassified_p__Patescibacteria"
"Bin57",6.86612767564413e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges"
"Bin66",3.43306383782206e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin77",3.43306383782206e-06,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","cvE6","norank_f__cvE6"
"Bin46",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"Bin33",2.41254238690847e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Tabrizicola"
"Bin16",1.71653191891103e-06,"Bacteria","Bacillota","Limnochordia","norank_c__Limnochordia","norank_c__Limnochordia","norank_c__Limnochordia"
"Bin19",1.71653191891103e-06,"Bacteria","Myxococcota","Polyangiia","Polyangiales","BIrii41","norank_f__BIrii41"
"Bin54",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Rickettsiellales","Rickettsiellaceae","norank_f__Rickettsiellaceae"
"Bin71",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Bin54",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"Bin87",1.71653191891103e-06,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8","norank_f__LWQ8"
"Bin33",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","unclassified_c__Alphaproteobacteria","unclassified_c__Alphaproteobacteria","unclassified_c__Alphaproteobacteria"
"Bin86",1.71653191891103e-06,"Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria","norank_o__Candidatus_Peregrinibacteria","norank_o__Candidatus_Peregrinibacteria"
"Bin10",3.43306383782206e-06,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"Bin87",1.71653191891103e-06,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","norank_o__Saccharimonadales","norank_o__Saccharimonadales"
"Bin38",3.43306383782206e-06,"Bacteria","Chloroflexota","Gitt-GS-136","norank_c__Gitt-GS-136","norank_c__Gitt-GS-136","norank_c__Gitt-GS-136"
"Bin28",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","unclassified_f__Sphingomonadaceae"
"Bin40",3.43306383782206e-06,"Bacteria","Cyanobacteriota","Cyanobacteriia","Cyanobacteriales","Phormidiaceae","Tychonema_CCAP_1459-11B"
"Bin87",3.83309520028088e-06,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","WWH38","norank_f__WWH38"
"Bin46",3.43306383782206e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium"
"Bin56",3.43306383782206e-06,"Bacteria","Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota"
"Bin31",3.43306383782206e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus"
"Bin64",6.86612767564413e-06,"Bacteria","Actinomycetota","Actinobacteria","Micrococcales","unclassified_o__Micrococcales","unclassified_o__Micrococcales"
"Bin55",2.48343954795474e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria_","norank_o__Gammaproteobacteria_","norank_o__Gammaproteobacteria_"
"Bin13",1.71653191891103e-06,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Bin26",3.89748197762307e-06,"Bacteria","Gemmatimonadota","Gemmatimonadia","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"Bin16",5.1495957567331e-06,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","norank_o__Vicinamibacterales","norank_o__Vicinamibacterales"
"Bin16",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067"
"Bin24",6.79339714607403e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Verrucomicrobiaceae","norank_f__Verrucomicrobiaceae"
"Bin18",5.1495957567331e-06,"Bacteria","Myxococcota","bacteriap25","norank_c__bacteriap25","norank_c__bacteriap25","norank_c__bacteriap25"
"Bin52",3.43306383782206e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Rickettsiellales","Rickettsiellaceae","norank_f__Rickettsiellaceae"
"Bin28",1.71653191891103e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin12",3.43306383782206e-06,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","unclassified_f__Bacillaceae"
"Bin31",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Bin13",8.39793775440566e-05,"Bacteria","Bacillota","Bacilli","unclassified_c__Bacilli","unclassified_c__Bacilli","unclassified_c__Bacilli"
"Bin52",3.43306383782206e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Rickettsiellales","Rickettsiellaceae","norank_f__Rickettsiellaceae"
"Bin1",1.71653191891103e-06,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Runella"
"Bin45",3.43306383782206e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Sutterellaceae","AAP99"
"Bin84",9.92001247065432e-06,"Bacteria","Chloroflexota","JG30-KF-CM66","norank_c__JG30-KF-CM66","norank_c__JG30-KF-CM66","norank_c__JG30-KF-CM66"
"Bin73",4.33916676221648e-05,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"Bin57",1.71653191891103e-06,"Bacteria","Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota","unclassified_p__Pseudomonadota"
"Bin28",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","unclassified_f__Sphingomonadaceae"
"Bin65",6.79753043597359e-06,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus"
"Bin32",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","unclassified_o__Hyphomicrobiales","unclassified_o__Hyphomicrobiales"
"Bin5",1.71653191891103e-06,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","unclassified_f__Saprospiraceae"
"Bin91",2.51774229160147e-05,"Bacteria","Patescibacteria","Parcubacteria","norank_c__Parcubacteria","norank_c__Parcubacteria","norank_c__Parcubacteria"
"Bin78",1.71653191891103e-06,"Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast","norank_o__Chloroplast","norank_o__Chloroplast"
"Bin28",1.71653191891103e-06,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter"
"Bin50",3.43306383782206e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Bin40",1.71653191891103e-06,"Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"Bin89",3.43306383782206e-06,"Bacteria","Patescibacteria","Parcubacteria","unclassified_c__Parcubacteria","unclassified_c__Parcubacteria","unclassified_c__Parcubacteria"
"Bin42",5.85703047112048e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"Bin71",1.71653191891103e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"Bin32",3.43306383782206e-06,"Bacteria","Pseudomonadota","Alphaproteobacteria","unclassified_c__Alphaproteobacteria","unclassified_c__Alphaproteobacteria","unclassified_c__Alphaproteobacteria"
"Bin33",4.02799448625813e-05,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","norank_f__Hyphomonadaceae"
"Bin6",2.05458857991187e-06,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","norank_f__Chitinophagaceae"
"Bin72",1.71653191891103e-06,"Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Simkaniaceae","norank_f__Simkaniaceae"
"Bin31",1.71653191891103e-05,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus"
"Bin40",1.71653191891103e-06,"Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"Bin63",1.71653191891103e-06,"Bacteria","Actinomycetota","Actinobacteria","Micrococcales","unclassified_o__Micrococcales","unclassified_o__Micrococcales"
"Bin12",1.71653191891103e-06,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"Bin5",3.43306383782206e-06,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","norank_f__Saprospiraceae"
"Bin55",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria_","norank_o__Gammaproteobacteria_","Candidatus_Ovatusbacter"
"Bin5",1.71653191891103e-06,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","norank_f__Saprospiraceae"
"Bin45",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Sutterellaceae","AAP99"
"Bin28",1.71653191891103e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","DEV007","norank_f__DEV007"
"Bin60",8.94821293203808e-06,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidiferrimicrobium"
"Bin7",5.39818874110456e-05,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Bin6",1.71653191891103e-06,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"Bin23",2.92486483583517e-06,"Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae","norank_f__Vermiphilaceae"
"Bin71",1.39471252477337e-05,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin42",1.71653191891103e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin87",1.71653191891103e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin53",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Rickettsiellales","Rickettsiellaceae","Aquicella"
"Bin45",5.11662560273705e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","TRA3-20","norank_f__TRA3-20"
"Bin24",1.71653191891103e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"Bin33",3.43306383782206e-06,"Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria","unclassified_k__norank_d__Bacteria"
"Bin81",9.07283548927322e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_f__Comamonadaceae"
"Bin45",2.48740880678853e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","mle1-7"
"Bin82",2.82391177730708e-05,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Bin55",3.8087590618341e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria_","norank_o__Gammaproteobacteria_","unclassified_f__norank_o__Gammaproteobacteria_"
"Bin7",1.71653191891103e-06,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Bin57",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Bin45",1.71653191891103e-06,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","unclassified_o__Burkholderiales","unclassified_o__Burkholderiales"
"Bin31",0.000284872457568918,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythrobacter"
