Method,GroupBasedOn,Group,Index,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92
CbMPDiCbraya,Management,Post,HD,0.025673097,0.446914482,0.004570045,0.002711946,0.969877944,0.371254351,0.00031153,0,0.00417746,0.352116507,0.0085496,0.004546676,0.001775758,0.012348894,0.001752957,0.156463045,0.030818517,0.11484043,0.008860819,0.003646226,0.001562891,0,0.000278626,0.058407041,0.172038822,0.081396052,0.060284162,0.001005006,0.260741375,0.393344027,0.002339836,0,0.002425994,0.004523951,0.314067375,0.02732613,0.273002555,0.165096122,0.011271262,0.111241242,0.00557302,0.106279367,0.184889687,0.000193357,0.209496967,0.002434533,0.004549218,0.000240755,0.139576484,0,0.019191285,0.030293217,0.027955544,0.006448716,0.028073652,0.000226662,0.003766148,0.096732222,0.017153297,0.083208558,6.83E-06,0.001503,0.001768118,0,0.016602478,0.041869494,0.021591342,0.0580374,0.064051009,0.004308441,0.001218325,0.041644125,0,0,0.031456538,0.001403904,0.000373664,0.034055317,0.144833454,0,0.308361184,0.075115096,0.015286784,0.000874197,0.412921524,0.748950697,0.000508903,0.057290603,0.195149078,0.924129046,1,0.276738334
CbMPDiCbraya,Management,Post,DR,0.027018895,0.483978921,0.079288261,0.330145003,0.030122056,0.620317294,0.037020418,0.182537169,0.06838349,0.495621264,0.406325963,0.005077604,0.184163516,0.004830093,0.097097124,0.254282287,0.968073763,0.612366487,0.213803342,0.077109977,0.054908078,0.067220184,0.160370943,0.187680589,0.5455367,0.918603948,0.554423428,0.018404519,0.402175686,0.606655973,0.004894007,0.543238716,0.068677547,0.150313416,0.522938827,0.530040602,0.584350905,0.203955071,0.051917721,0.241708519,0.16577344,0.578962562,0.149915165,0,0.70313353,0.040302165,0.050238908,0.067161382,0.855476402,0,0.185541779,0.134734513,0.062211537,0.025113119,0.140108422,0.159515775,0.04604376,0.667315821,0.785864632,0.372130334,0.631469495,0.241637073,0.234365396,0.083456239,0.184939243,0.5598326,0.152860347,0.48325026,0.549780991,0.151481447,0.052474384,0.115426495,0.151697467,0.152545395,0.03644857,0.453511771,0.079694691,0.348193022,0.756229696,0.046284362,0.030553378,0.106111612,0.74156744,0.10902052,0.49165842,0.251049303,0.070248802,0.848599618,0.193946468,0,0,0.723261666
CbMPDiCbraya,Management,Post,DominantProcess,DL,DR,HoS,HoS,HD,DR,HoS,DL,HoS,DR,DL,HoS,HoS,HoS,DL,HoS,DR,DR,DL,HoS,DL,DL,DL,HoS,DR,DR,DR,HoS,DR,DR,HoS,DR,HoS,DL,DR,DR,DR,HoS,DL,HoS,DL,DR,HoS,HoS,DR,HoS,HoS,HoS,DR,HoS,DL,DL,HoS,HoS,DL,HoS,HoS,DR,DR,HoS,DR,DL,DL,HoS,DL,DR,HoS,DR,DR,HoS,HoS,DL,DL,DL,HoS,DR,HoS,DR,DR,HoS,HoS,HoS,DR,HoS,DR,HD,HoS,DR,HoS,HD,HD,DR
CbMPDiCbraya,Management,Post,DominantProcessImportance,0.761019584,0.483978921,0.718730007,0.508683015,0.969877944,0.620317294,0.592354895,0.750764273,0.820918344,0.495621264,0.565742233,0.990375721,0.587307664,0.900794947,0.694724205,0.508024592,0.968073763,0.612366487,0.387376873,0.675046896,0.784907281,0.67548303,0.706365798,0.753912369,0.5455367,0.918603948,0.554423428,0.773575038,0.402175686,0.606655973,0.992766157,0.543238716,0.820463674,0.843379621,0.522938827,0.530040602,0.584350905,0.630948807,0.77362859,0.647050238,0.727851172,0.578962562,0.423706651,0.972079072,0.70313353,0.455441882,0.823503893,0.647247224,0.855476402,1,0.624622043,0.729570402,0.497555585,0.968438165,0.828867024,0.45630537,0.541291218,0.667315821,0.785864632,0.454936121,0.631469495,0.652532139,0.434834791,0.865111488,0.668997043,0.5598326,0.793244526,0.48325026,0.549780991,0.707146031,0.726409072,0.744142364,0.848302533,0.444771886,0.581765423,0.453511771,0.699337174,0.348193022,0.756229696,0.865089168,0.661085438,0.793903758,0.74156744,0.830413719,0.49165842,0.748950697,0.640429299,0.848599618,0.452201717,0.924129046,1,0.723261666
CbMPDiCbraya,Management,Post,DominantProcessPvalue,0.06,0.43,0.04,0.24,0,0.22,0.3,0.06,0.01,0.39,0.36,0,0.13,0,0.05,0.22,0,0.03,0.44,0.04,0.04,0.04,0.11,0.01,0.28,0,0.21,0,0.43,0.3,0,0.18,0,0.1,0.26,0.21,0.22,0.14,0.02,0.12,0.05,0.2,0.46,0,0.1,0.27,0,0.25,0.01,0,0.18,0.06,0.46,0,0.1,0.52,0.22,0.03,0.04,0.44,0.2,0.16,0.42,0,0.08,0.47,0.03,0.07,0.37,0.03,0.06,0.1,0.05,0.46,0.25,0.49,0.08,0.57,0.07,0,0.19,0,0.02,0,0.56,0.11,0.12,0.01,0.34,0.02,0.12,0.18
CbMPDiCbraya,Management,Pre_vs_In,HeS,0,0.225592316,0.128673346,0,0,0.198682403,0,0,0,0.203993005,0,0,0,0.094517774,0,0,0,0.018372711,0,0.323070813,0,0,0.009837034,0.019142318,0,0,0,0,0.006036054,0,0,0,0,0,0,0.100851415,0.060608219,0,0.145499604,0.060627908,0,0,0,0,0.160305787,0.001328974,0,0.038415183,0.028323932,0,0,0,0,0,0.22608945,0.001463486,0,0,0,0,0,0,0,0,0.002438819,0,0.148762094,0.033430848,0,0.161056466,0,0,0.046052625,0.002419924,0.025245893,0,0.025381825,0,0,0.003247269,0,0,0.001533585,0,0.115141067,0.177403749,0,0.106989535,0.044637222,0.034445104,0,0
CbMPDiCbraya,Management,Pre_vs_In,HoS,0.190151688,0,0.025081345,0.01341059,0,0.002914789,0.813518877,0.39670962,0.844844758,0.083626099,0.074948682,0.84018112,0.658657277,0.133073228,0.060385612,0.005222161,0.006601105,0.206655302,0.094332295,0,0.032587346,0.002336086,0.118761091,0.32381871,0.532016855,0.237744953,0.055468071,0.80979375,0.011532658,0,0.96777218,0.238395125,0.390478502,0.291808362,0.018181368,0.229258256,0.14693493,0.28169279,0.049038201,0.354503462,0.080360153,0.144002878,0.968622866,0.954393388,0.025984559,0.416868594,0.435229753,0.214865008,0.829409386,0.699632023,0,0.069668631,0.005063619,0.011390744,0.003210764,0.017085538,0.465080221,0.263573581,0.112609672,1,0,0.311289781,0.673423871,1,0.090034449,0.781905836,0.019299439,0.077183972,0.162747336,0.013777259,1,0.054268709,0.013733435,0.226116985,0.022289784,0,0.158027759,0.982947683,0.772479169,0.047085635,0.750093888,0.965503086,0.157133613,0.045801708,0,0.016066304,0.361265388,0.240728834,0.084370753,0,0.335052864,0.163886265
CbMPDiCbraya,Management,Pre_vs_In,DL,0.633082491,0.682808407,0.645542522,0.358402806,0.28898404,0.581347524,0.038099527,0.230761642,0.034783925,0.658164237,0.813402633,0.075985277,0.104532629,0,0,0.909866806,0.352512406,0.543516076,0.610066429,0.024041674,0,0.019046887,0,0.364134219,0.314311358,0.407920087,0.838765018,0.04029583,0.684119851,0.457053622,0,0.06009267,0.233196324,0.041800039,0.618832886,0.511124009,0.616014583,0.4907788,0.468772504,0.381579674,0.556941099,0.636353904,0,0.040769189,0.66334268,0.541427876,0.332289669,0.565945454,0.091271424,0.159134084,0.731068394,0.710894092,0.739649619,0.236200907,0.46605781,0.41414637,0.373291651,0.581830536,0.162059285,0,0.342649434,0.137209759,0,0,0.383410716,0.210262813,0.543399065,0.508754805,0.240315912,0.376774475,0,0.54163218,0.317600665,0.510588211,0.294422972,0.61318088,0.549882547,0,0.120217373,0.262810996,0.113987881,0.01446631,0.552823767,0.043879401,0.644436485,0.533071694,0.288447556,0.497784715,0.583680859,0.722041185,0.487342803,0.611103306
CbMPDiCbraya,Management,Pre_vs_In,HD,0.068655794,0.009709309,0.054948797,0.048032934,0.002049434,0.004296073,0.117195684,0.119048657,0.016837032,0.011870134,0.033417781,0.000557901,0.00611806,0.494886921,0.887356998,0.029222926,0.00384404,0.015468752,0.051222923,0.094513923,0.171343705,0.198206453,0.207707378,0.003720258,0,0.005552746,0.015583008,0.029899338,0,0.016492816,0,0.023765423,0.180016097,0.020179424,0,0.007082944,0.006300484,0.004652666,0.002218927,0.006058411,0.12974719,0.003596547,0,0.002373472,0.032543839,0.000165733,0.013791289,0.004133514,0.003736581,0.006505368,0.013372066,0.037338743,0.096698898,0.037354592,0.071846601,0.001794674,0.050016718,0,0,0,0,0.087598308,0.029728914,0,0.183377875,0,0.011328574,0.03646088,0.029200396,0.001250848,0,0.190178607,0.118011421,0.100502092,0.149622084,0,0.015082686,0,0.005213758,0.202916782,0,0.00501895,0.021959827,0.066791851,0.021590727,0.001998498,0.057142711,0.007667179,0,0,0.009276944,0.002415015
CbMPDiCbraya,Management,Pre_vs_In,DR,0.108110026,0.081889968,0.145753989,0.58015367,0.708966527,0.21275921,0.031185912,0.253480081,0.103534285,0.042346526,0.078230904,0.083275702,0.230692034,0.277522077,0.05225739,0.055688107,0.637042449,0.215987158,0.244378354,0.55837359,0.79606895,0.780410574,0.663694497,0.289184495,0.153671786,0.348782215,0.090183902,0.120011082,0.298311436,0.526453562,0.03222782,0.677746782,0.196309077,0.646212175,0.362985745,0.151683375,0.170141783,0.222875744,0.334470764,0.197230546,0.232951559,0.216046671,0.031377134,0.00246395,0.117823135,0.040208823,0.218689289,0.176640841,0.047258677,0.134728526,0.255559539,0.182098535,0.158587863,0.715053757,0.232795375,0.565509932,0.11161141,0.154595883,0.725331042,0,0.657350566,0.463902151,0.296847215,0,0.340738141,0.007831351,0.277210827,0.344169496,0.567736355,0.447140952,0,0.213920504,0.504601855,0.160372788,0.508419266,0.38681912,0.251625182,0.017052317,0.102089701,0.483939317,0.135918231,0.015011654,0.266549208,0.84352704,0.21883172,0.271459755,0.293144345,0.146829738,0.287311166,0.243513711,0.168327389,0.222595414
