"Method","GroupBasedOn","Group","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78","bin79","bin80","bin81","bin82","bin83","bin84","bin85","bin86","bin87","bin88","bin89","bin90","bin91","bin92"
"CbMPDiCbraya","Management","Pre","0.00385752281540091","0.0302031782253481","0.00320067444332971","0.018068630238154","0.00819722603161146","0.000284595236635748","0.000304961018533868","0.000230141035114172","0.000581192000198373","9.94748399503427e-05","0.000861670250696935","0.00179449578168543","0.00694944819719701","0.000685808947397615","0.000257876946376959","0.0186486576456163","0.00312102418438714","0.00136363660335842","0.00127985175823862","0.000798188445527277","0.000818253072625138","0.000141996278734184","0.000195252051428308","0.0128315081779852","0.0126579152986467","0.000439814153244686","0.00601819699099792","0.00113430719753484","0.00424032676336086","0.00555792741279655","0.0101169790907238","0.0121196643792346","0.00594412552156875","0.0277747252946927","0.00609457268068251","5.38719079510075e-05","1.10248154354618e-05","0.0102553196807602","0.0005944624585959","0.0241855254423513","0.00068163367219728","0.0317254114466381","0.0432029056419427","0.00550106454791131","0.019743545159743","0.000168850783541717","0.00345749288987634","0.00224716924873129","0.0257982973190266","0.00525386081726916","0.000217326761174806","8.21075783054967e-05","0.000150660868007773","0.00741520084709145","0.00023122488759254","0.00087317888554032","0.012579713819615","0.00572401741185093","0.00793346797727917","0.0395470932124804","0.0421582427206569","0.0085984344394252","0.00175919597614301","0.00121486503635668","0.00246341553946027","0.179348106005502","0.00466106157326889","0.000369222185203059","0.000503957942205009","0.000194159156400675","0.00226335594229953","0.000782891296771647","0.000151356590365488","0.000128843309861663","0.000431759277259935","0.00910149349494696","0.000198280588386199","0.0133879555363549","0.165627863923639","0.00081922531536398","0.0904224666239208","0.00521062290292445","0.00243765046755192","0.00243643460148144","0.000184470472392515","0.000254714246684735","0.00169022216131685","0.000188266364250876","0.000267899013652688","0.00784219279163368","0.000193487050364942","0.000199640364030505"
"CbMPDiCbraya","Management","In","0.00310789535596688","0.0171243405709729","0.00168731840081065","0.0104297264778979","0.0115280824388598","0.000454234136778818","0.00150826499647242","0.00134218487200494","0.00148440266811071","0.00210752270906547","0.157972000926676","0.0542752730759035","0.0705549282300726","0.0011328045664831","0.000278011705022735","0.00136232633700379","0.000755678815630809","0.000571081093150259","0.000894563012173418","0.000947823643365884","0.000264114526780396","5.57117725025041e-05","0.000214044602790259","0.0181519632786281","0.00203726476398197","0.000706160989773721","0.000720144071725722","0.00454939325301176","0.00124121318247295","0.00455491371838866","0.0353494888290081","0.0102518956145946","0.0162178663200137","0.00604465269417865","0.00307829494088185","0.00134320435959778","0.000816665354015941","0.00412134663288796","0.00025609941229128","0.0142370010745176","0.00137159020785647","0.00800575282649969","0.0150506810851656","0.00472986860811533","0.00462112902621392","0.011039927482946","0.0161615345518617","0.000544458875143759","0.0574621960422202","0.00746706567740366","0.000216225130054754","0.000454723008041152","0.000544697756249795","0.00426549466856685","0.00042009313117067","0.00513175926774936","0.0665653793796848","0.000818040266456769","0.00180479991946382","0.0150432431552247","0.00236014231672547","0.00458281926816225","0.0064727039769314","0.0617720275515828","0.0108783351367554","0.0265013859180685","0.000648404815822201","0.000181185842405385","0.000417294827388462","0.00036343538771866","0.0114307713664622","0.000167242373890809","0.000234302244659224","0.00099203418276897","0.000377775557155572","0.000793314747404027","0.00113277792187446","0.00493683464254089","0.139799249960967","0.000658246353540294","0.0241645871743763","0.00765353594198443","0.00219694873829324","0.00069910719136797","0.000461512195663957","0.000424428002037551","0.00247289506375744","0.000255298128228512","0.000285642824997725","0.000324465848476465","0.000703370289516994","0.000209360717920356"
"CbMPDiCbraya","Management","Post","0.00602355102025043","0.00142568513020504","0.00661537419793115","0.00847463754178226","5.43185002735711e-05","4.48569669931031e-05","0.00736915134894113","0.0045209112597061","0.00150355738781471","0.000180292770789684","0.0998586162563523","0.0533763560491051","0.12223771988522","0.00657987683142729","0.00239365807125517","0.00122512540415205","0.00096580630373212","0.000340940361367361","0.00115180063030839","0.00330871551554492","0.00198749750236719","0.000549426056114184","0.000666528342689435","0.00273628360216888","0.000663082607881107","0.000169602284499726","0.000914082517336864","0.00687547985181042","0.000212258796192402","0.000903613634834862","0.061100863325197","0.0172619773141472","0.0177819953208394","0.0935428986023917","0.00040493720061664","0.000505703160939265","0.000101131652055061","0.000836343892056994","0.000652349939366655","0.00317053017996905","0.00318284690577359","0.00535440424709296","0.000375889662634587","0.00204425706644177","0.0023901969195856","0.0023516893983505","0.0321671366555741","0.00480830093262884","0.00121615348516695","0.0111761930815669","0.000180767153551759","0.000218117187470777","0.000364382747343432","0.00975677069955594","0.000377548790566225","0.0262492436185743","0.121958672559133","0.000746873536903242","0.00371007143105342","0.00877185744429538","0.0269783789303957","0.0168857976184914","0.00810412598425296","0.0538081349234662","0.0248909211964645","0.00429133010088674","0.000908960179844724","0.000118454588875778","0.000264133100662024","0.000201832117971886","0.0378020540382861","0.000747568990571479","0.000561805894509766","0.000750256928096943","0.00102321521896139","0.00174421902819072","0.00110923623261948","0.00705246376791174","0.00289136525870704","0.00677305199189642","0.00320501372248057","0.00158242990649032","0.000768859923871975","0.00975108664852149","3.71065181502367e-05","1.08122112997442e-05","0.0115080488408337","7.31388668819179e-05","4.35199084632955e-05","6.81349907088217e-06","5.61980399455504e-06","1.13333189900083e-05"
"CbMPDiCbraya","Management","Pre_vs_In","0.0034827090856839","0.0236637593981605","0.00244399642207018","0.0142491783580259","0.00986265423523564","0.000369414686707283","0.000906613007503146","0.000786162953559558","0.00103279733415454","0.00110349877450791","0.0794168355886864","0.0280348844287945","0.0387521882136348","0.000909306756940358","0.000267944325699847","0.0100054919913101","0.00193835150000897","0.000967358848254338","0.00108720738520602","0.00087300604444658","0.000541183799702767","9.88540256183442e-05","0.000204648327109283","0.0154917357283067","0.00734759003131435","0.000572987571509204","0.00336917053136182","0.0028418502252733","0.00274076997291691","0.00505642056559261","0.0227332339598659","0.0111857799969146","0.0110809959207912","0.0169096889944357","0.00458643381078218","0.000698538133774392","0.000413845084725701","0.00718833315682406","0.00042528093544359","0.0192112632584345","0.00102661194002687","0.0198655821365689","0.0291267933635542","0.00511546657801332","0.0121823370929785","0.00560438913324386","0.00980951372086903","0.00139581406193753","0.0416302466806234","0.00636046324733641","0.00021677594561478","0.000268415293173325","0.000347679312128784","0.00584034775782915","0.000325659009381605","0.00300246907664484","0.0395725465996499","0.00327102883915385","0.00486913394837149","0.0272951681838526","0.0222591925186912","0.00659062685379372","0.0041159499765372","0.0314934462939697","0.00667087533810785","0.102924745961785","0.00265473319454554","0.000275204013804222","0.000460626384796736","0.000278797272059668","0.00684706365438089","0.000475066835331228","0.000192829417512356","0.000560438746315317","0.000404767417207754","0.0049474041211755","0.000665529255130331","0.0091623950894479","0.152713556942303","0.000738735834452137","0.0572935268991486","0.00643207942245444","0.00231729960292258","0.0015677708964247","0.000322991334028236","0.000339571124361143","0.00208155861253714","0.000221782246239694","0.000276770919325206","0.00408332932005507","0.000448428669940968","0.000204500540975431"
"CbMPDiCbraya","Management","Pre_vs_Post","0.00494053691782567","0.0158144316777766","0.00490802432063043","0.0132716338899681","0.00412577226594251","0.000164726101814425","0.0038370561837375","0.00237552614741013","0.00104237469400654","0.000139883805370013","0.0503601432535246","0.0275854259153953","0.0645935840412083","0.00363284288941245","0.00132576750881606","0.00993689152488418","0.00204341524405963","0.000852288482362889","0.0012158261942735","0.0020534519805361","0.00140287528749616","0.000345711167424184","0.000430890197058871","0.00778389589007704","0.00666049895326392","0.000304708218872206","0.00346613975416739","0.00400489352467263","0.00222629277977663","0.00323077052381571","0.0356089212079604","0.0146908208466909","0.0118630604212041","0.0606588119485422","0.00324975494064957","0.000279787534445136","5.60782337452612e-05","0.00554583178640858","0.000623406198981278","0.0136780278111602","0.00193224028898544","0.0185399078468656","0.0217893976522887","0.00377266080717654","0.0110668710396643","0.00126027009094611","0.0178123147727252","0.00352773509068007","0.0135072254020968","0.00821502694941803","0.000199046957363283","0.000150112382888137","0.000257521807675603","0.0085859857733237","0.000304386839079382","0.0135612112520573","0.0672691931893737","0.00323544547437708","0.00582176970416629","0.0241594753283879","0.0345683108255263","0.0127421160289583","0.00493166098019798","0.0275114999799114","0.0136771683679624","0.0918197180531942","0.00278501087655681","0.000243838387039419","0.000384045521433517","0.00019799563718628","0.0200327049902928","0.000765230143671563","0.000356581242437627","0.000439550118979303","0.000727487248110664","0.00542285626156884","0.000653758410502839","0.0102202096521333","0.0842596145911728","0.0037961386536302","0.0468137401732007","0.00339652640470738","0.00160325519571195","0.00609376062500146","0.000110788495271376","0.000132763228992239","0.00659913550107529","0.000130702615566397","0.000155709461057992","0.00392450314535228","9.95534271797487e-05","0.000105486841510257"
"CbMPDiCbraya","Management","In_vs_Post","0.00456572318810866","0.00927501285058898","0.0041513462993709","0.00945218200984009","0.00579120046956669","0.000249545551885961","0.00443870817270678","0.00293154806585552","0.00149398002796271","0.00114390773992758","0.128915308591514","0.0538258145625043","0.0963963240576461","0.0038563406989552","0.00133583488813895","0.00129372587057792","0.000860742559681464","0.00045601072725881","0.0010231818212409","0.0021282695794554","0.00112580601457379","0.000302568914308344","0.000440286472739847","0.0104441234403985","0.00135017368593154","0.000437881637136723","0.000817113294531293","0.00571243655241109","0.000726735989332678","0.00272926367661176","0.0482251760771025","0.0137569364643709","0.0169999308204266","0.0497937756482852","0.00174161607074924","0.000924453760268521","0.000458898503035501","0.00247884526247248","0.000454224675828968","0.00870376562724335","0.00227721855681503","0.00668007853679632","0.00771328537390009","0.00338706283727855","0.00350566297289976","0.00669580844064825","0.0241643356037179","0.0026763799038863","0.0293391747636936","0.00932162937948528","0.000198496141803257","0.000336420097755965","0.000454540251796613","0.0070111326840614","0.000398820960868447","0.0156905014431618","0.0942620259694086","0.000782456901680005","0.00275743567525862","0.0119075502997601","0.0146692606235606","0.0107343084433268","0.00728841498059218","0.0577900812375245","0.01788462816661","0.0153963580094776","0.000778682497833462","0.000149820215640582","0.000340713964025243","0.000282633752845273","0.0246164127023742","0.000457405682231144","0.000398054069584495","0.000871145555432956","0.000700495388058482","0.00126876688779737","0.00112100707724697","0.00599464920522631","0.071345307609837","0.00371564917271836","0.0136848004484284","0.00461798292423737","0.00148290433108261","0.00522509691994473","0.000249309356907097","0.000217620106668647","0.00699047195229559","0.000164218497555215","0.00016458136673051","0.000165639673773674","0.000354495046755774","0.000110347018455182"
